start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 2356 -135_0.215772|-120_0.214949|-105_0.213946|-90_0.212806|-75_0.211594|-60_0.210393|-45_0.209308|-30_0.20845|-15_0.20792|0_0.207785|15_0.208064|30_0.20872|45_0.209673|60_0.210815|75_0.212035|90_0.213236|105_0.214337|120_0.215282|135_0.216033|
[DEBUG] 3802 -135_0.223036|-120_0.222554|-105_0.221994|-90_0.221387|-75_0.220774|-60_0.220205|-45_0.219738|-30_0.219423|-15_0.219301|0_0.219387|15_0.21967|30_0.220114|45_0.220668|60_0.221277|75_0.221887|90_0.222457|105_0.222954|120_0.223357|135_0.223655|
[DEBUG] 3803 -135_0.223036|-120_0.222554|-105_0.221994|-90_0.221387|-75_0.220774|-60_0.220205|-45_0.219738|-30_0.219423|-15_0.219301|0_0.219387|15_0.21967|30_0.220114|45_0.220668|60_0.221277|75_0.221887|90_0.222457|105_0.222954|120_0.223357|135_0.223655|
[DEBUG] 3804 -135_0.223036|-120_0.222554|-105_0.221994|-90_0.221387|-75_0.220774|-60_0.220205|-45_0.219738|-30_0.219423|-15_0.219301|0_0.219387|15_0.21967|30_0.220114|45_0.220668|60_0.221277|75_0.221887|90_0.222457|105_0.222954|120_0.223357|135_0.223655|
[DEBUG] 3811 -135_0.22517|-120_0.224818|-105_0.224402|-90_0.223943|-75_0.223473|-60_0.223027|-45_0.222649|-30_0.222381|-15_0.222254|0_0.222285|15_0.222469|30_0.222784|45_0.223193|60_0.223652|75_0.22412|90_0.224564|105_0.224956|120_0.22528|135_0.225526|
[DEBUG] 3812 -135_0.22517|-120_0.224818|-105_0.224402|-90_0.223943|-75_0.223473|-60_0.223027|-45_0.222649|-30_0.222381|-15_0.222254|0_0.222285|15_0.222469|30_0.222784|45_0.223193|60_0.223652|75_0.22412|90_0.224564|105_0.224956|120_0.22528|135_0.225526|
[DEBUG] 3813 -135_0.22517|-120_0.224818|-105_0.224402|-90_0.223943|-75_0.223473|-60_0.223027|-45_0.222649|-30_0.222381|-15_0.222254|0_0.222285|15_0.222469|30_0.222784|45_0.223193|60_0.223652|75_0.22412|90_0.224564|105_0.224956|120_0.22528|135_0.225526|
[DEBUG] 8035 -135_0.237491|-120_0.236467|-105_0.235968|-90_0.235824|-75_0.226956|-60_0.227137|-45_0.227412|-30_0.227728|-15_0.228043|0_0.228329|15_0.228566|30_0.228742|45_0.228852|60_0.228891|75_0.228858|90_0.228755|105_0.228583|120_0.237504|135_0.237782|
[DEBUG] 8036 -135_0.237491|-120_0.236467|-105_0.235968|-90_0.235824|-75_0.226956|-60_0.227137|-45_0.227412|-30_0.227728|-15_0.228043|0_0.228329|15_0.228566|30_0.228742|45_0.228852|60_0.228891|75_0.228858|90_0.228755|105_0.228583|120_0.237504|135_0.237782|
[DEBUG] 8037 -135_0.237491|-120_0.236467|-105_0.235968|-90_0.235824|-75_0.226956|-60_0.227137|-45_0.227412|-30_0.227728|-15_0.228043|0_0.228329|15_0.228566|30_0.228742|45_0.228852|60_0.228891|75_0.228858|90_0.228755|105_0.228583|120_0.237504|135_0.237782|
[DEBUG] 8038 -135_0.237056|-120_0.236044|-105_0.235541|-90_0.235417|-75_0.226618|-60_0.226847|-45_0.22715|-30_0.227483|-15_0.227806|0_0.228094|15_0.22833|30_0.228503|45_0.228608|60_0.228641|75_0.228602|90_0.228491|105_0.228312|120_0.237265|135_0.237567|
[DEBUG] 8039 -135_0.237056|-120_0.236044|-105_0.235541|-90_0.235417|-75_0.226618|-60_0.226847|-45_0.22715|-30_0.227483|-15_0.227806|0_0.228094|15_0.22833|30_0.228503|45_0.228608|60_0.228641|75_0.228602|90_0.228491|105_0.228312|120_0.237265|135_0.237567|
[DEBUG] 8040 -135_0.237056|-120_0.236044|-105_0.235541|-90_0.235417|-75_0.226618|-60_0.226847|-45_0.22715|-30_0.227483|-15_0.227806|0_0.228094|15_0.22833|30_0.228503|45_0.228608|60_0.228641|75_0.228602|90_0.228491|105_0.228312|120_0.237265|135_0.237567|
[DEBUG] 8041 -135_0.235963|-120_0.235025|-105_0.234553|-90_0.22557|-75_0.225844|-60_0.226172|-45_0.22653|-30_0.226887|-15_0.227216|0_0.227499|15_0.227721|30_0.227876|45_0.227959|60_0.227967|75_0.227902|90_0.227764|105_0.236515|120_0.236598|135_0.236956|
[DEBUG] 8042 -135_0.235963|-120_0.235025|-105_0.234553|-90_0.22557|-75_0.225844|-60_0.226172|-45_0.22653|-30_0.226887|-15_0.227216|0_0.227499|15_0.227721|30_0.227876|45_0.227959|60_0.227967|75_0.227902|90_0.227764|105_0.236515|120_0.236598|135_0.236956|
[DEBUG] 8043 -135_0.235963|-120_0.235025|-105_0.234553|-90_0.22557|-75_0.225844|-60_0.226172|-45_0.22653|-30_0.226887|-15_0.227216|0_0.227499|15_0.227721|30_0.227876|45_0.227959|60_0.227967|75_0.227902|90_0.227764|105_0.236515|120_0.236598|135_0.236956|
