start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4535 -135_0.233684|-120_0.233727|-105_0.233738|-90_0.233718|-75_0.233682|-60_0.233638|-45_0.233591|-30_0.233545|-15_0.233502|0_0.233464|15_0.233431|30_0.233405|45_0.233385|60_0.233372|75_0.233365|90_0.233363|105_0.233366|120_0.233377|135_0.233395|
[DEBUG] 4536 -135_0.233684|-120_0.233727|-105_0.233738|-90_0.233718|-75_0.233682|-60_0.233638|-45_0.233591|-30_0.233545|-15_0.233502|0_0.233464|15_0.233431|30_0.233405|45_0.233385|60_0.233372|75_0.233365|90_0.233363|105_0.233366|120_0.233377|135_0.233395|
[DEBUG] 4537 -135_0.233188|-120_0.233206|-105_0.233227|-90_0.233249|-75_0.233262|-60_0.233262|-45_0.23325|-30_0.23323|-15_0.233206|0_0.233181|15_0.233158|30_0.233137|45_0.233119|60_0.233104|75_0.233093|90_0.233085|105_0.233079|120_0.233076|135_0.233078|
[DEBUG] 4538 -135_0.233188|-120_0.233206|-105_0.233227|-90_0.233249|-75_0.233262|-60_0.233262|-45_0.23325|-30_0.23323|-15_0.233206|0_0.233181|15_0.233158|30_0.233137|45_0.233119|60_0.233104|75_0.233093|90_0.233085|105_0.233079|120_0.233076|135_0.233078|
[DEBUG] 4539 -135_0.233188|-120_0.233206|-105_0.233227|-90_0.233249|-75_0.233262|-60_0.233262|-45_0.23325|-30_0.23323|-15_0.233206|0_0.233181|15_0.233158|30_0.233137|45_0.233119|60_0.233104|75_0.233093|90_0.233085|105_0.233079|120_0.233076|135_0.233078|
[DEBUG] 4540 -135_0.233547|-120_0.233586|-105_0.233604|-90_0.233602|-75_0.233583|-60_0.233554|-45_0.23352|-30_0.233483|-15_0.233445|0_0.233411|15_0.23338|30_0.233355|45_0.233335|60_0.23332|75_0.23331|90_0.233304|105_0.233303|120_0.233307|135_0.233317|
[DEBUG] 4541 -135_0.233547|-120_0.233586|-105_0.233604|-90_0.233602|-75_0.233583|-60_0.233554|-45_0.23352|-30_0.233483|-15_0.233445|0_0.233411|15_0.23338|30_0.233355|45_0.233335|60_0.23332|75_0.23331|90_0.233304|105_0.233303|120_0.233307|135_0.233317|
[DEBUG] 4542 -135_0.233547|-120_0.233586|-105_0.233604|-90_0.233602|-75_0.233583|-60_0.233554|-45_0.23352|-30_0.233483|-15_0.233445|0_0.233411|15_0.23338|30_0.233355|45_0.233335|60_0.23332|75_0.23331|90_0.233304|105_0.233303|120_0.233307|135_0.233317|
[DEBUG] 4543 -135_0.233572|-120_0.233603|-105_0.233619|-90_0.233618|-75_0.233601|-60_0.233574|-45_0.23354|-30_0.233502|-15_0.233465|0_0.233431|15_0.233401|30_0.233376|45_0.233357|60_0.233344|75_0.233336|90_0.233332|105_0.233333|120_0.23334|135_0.233353|
[DEBUG] 4544 -135_0.233572|-120_0.233603|-105_0.233619|-90_0.233618|-75_0.233601|-60_0.233574|-45_0.23354|-30_0.233502|-15_0.233465|0_0.233431|15_0.233401|30_0.233376|45_0.233357|60_0.233344|75_0.233336|90_0.233332|105_0.233333|120_0.23334|135_0.233353|
[DEBUG] 4545 -135_0.233572|-120_0.233603|-105_0.233619|-90_0.233618|-75_0.233601|-60_0.233574|-45_0.23354|-30_0.233502|-15_0.233465|0_0.233431|15_0.233401|30_0.233376|45_0.233357|60_0.233344|75_0.233336|90_0.233332|105_0.233333|120_0.23334|135_0.233353|
[DEBUG] 4546 -135_0.233752|-120_0.233798|-105_0.233816|-90_0.233804|-75_0.233772|-60_0.23373|-45_0.233684|-30_0.233637|-15_0.233592|0_0.233552|15_0.233517|30_0.233489|45_0.233468|60_0.233453|75_0.233445|90_0.233442|105_0.233445|120_0.233455|135_0.233472|
[DEBUG] 4547 -135_0.233752|-120_0.233798|-105_0.233816|-90_0.233804|-75_0.233772|-60_0.23373|-45_0.233684|-30_0.233637|-15_0.233592|0_0.233552|15_0.233517|30_0.233489|45_0.233468|60_0.233453|75_0.233445|90_0.233442|105_0.233445|120_0.233455|135_0.233472|
[DEBUG] 4548 -135_0.233752|-120_0.233798|-105_0.233816|-90_0.233804|-75_0.233772|-60_0.23373|-45_0.233684|-30_0.233637|-15_0.233592|0_0.233552|15_0.233517|30_0.233489|45_0.233468|60_0.233453|75_0.233445|90_0.233442|105_0.233445|120_0.233455|135_0.233472|
[DEBUG] 4549 -135_0.233778|-120_0.23382|-105_0.233832|-90_0.233813|-75_0.233777|-60_0.233733|-45_0.233685|-30_0.233637|-15_0.233593|0_0.233553|15_0.233519|30_0.233492|45_0.233472|60_0.233459|75_0.233452|90_0.23345|105_0.233455|120_0.233466|135_0.233485|
[DEBUG] 4550 -135_0.233778|-120_0.23382|-105_0.233832|-90_0.233813|-75_0.233777|-60_0.233733|-45_0.233685|-30_0.233637|-15_0.233593|0_0.233553|15_0.233519|30_0.233492|45_0.233472|60_0.233459|75_0.233452|90_0.23345|105_0.233455|120_0.233466|135_0.233485|
[DEBUG] 4551 -135_0.233778|-120_0.23382|-105_0.233832|-90_0.233813|-75_0.233777|-60_0.233733|-45_0.233685|-30_0.233637|-15_0.233593|0_0.233553|15_0.233519|30_0.233492|45_0.233472|60_0.233459|75_0.233452|90_0.23345|105_0.233455|120_0.233466|135_0.233485|
[DEBUG] 4552 -135_0.23373|-120_0.233771|-105_0.233784|-90_0.23377|-75_0.233739|-60_0.233698|-45_0.233654|-30_0.233609|-15_0.233566|0_0.233528|15_0.233495|30_0.233469|45_0.233449|60_0.233435|75_0.233427|90_0.233425|105_0.233428|120_0.233438|135_0.233455|
[DEBUG] 4553 -135_0.23373|-120_0.233771|-105_0.233784|-90_0.23377|-75_0.233739|-60_0.233698|-45_0.233654|-30_0.233609|-15_0.233566|0_0.233528|15_0.233495|30_0.233469|45_0.233449|60_0.233435|75_0.233427|90_0.233425|105_0.233428|120_0.233438|135_0.233455|
[DEBUG] 4554 -135_0.23373|-120_0.233771|-105_0.233784|-90_0.23377|-75_0.233739|-60_0.233698|-45_0.233654|-30_0.233609|-15_0.233566|0_0.233528|15_0.233495|30_0.233469|45_0.233449|60_0.233435|75_0.233427|90_0.233425|105_0.233428|120_0.233438|135_0.233455|
[DEBUG] 4555 -135_0.233652|-120_0.23368|-105_0.233686|-90_0.233674|-75_0.233647|-60_0.233613|-45_0.233574|-30_0.233534|-15_0.233496|0_0.233462|15_0.233434|30_0.233411|45_0.233394|60_0.233382|75_0.233376|90_0.233374|105_0.233377|120_0.233387|135_0.233404|
[DEBUG] 4556 -135_0.233652|-120_0.23368|-105_0.233686|-90_0.233674|-75_0.233647|-60_0.233613|-45_0.233574|-30_0.233534|-15_0.233496|0_0.233462|15_0.233434|30_0.233411|45_0.233394|60_0.233382|75_0.233376|90_0.233374|105_0.233377|120_0.233387|135_0.233404|
[DEBUG] 4557 -135_0.233652|-120_0.23368|-105_0.233686|-90_0.233674|-75_0.233647|-60_0.233613|-45_0.233574|-30_0.233534|-15_0.233496|0_0.233462|15_0.233434|30_0.233411|45_0.233394|60_0.233382|75_0.233376|90_0.233374|105_0.233377|120_0.233387|135_0.233404|
