start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 1255 -135_0.225982|-120_0.225643|-105_0.225316|-90_0.225029|-75_0.224811|-60_0.224682|-45_0.224658|-30_0.224743|-15_0.224927|0_0.225192|15_0.225508|30_0.225844|45_0.226173|60_0.226474|75_0.226731|90_0.226935|105_0.227079|120_0.22716|135_0.227176|
[DEBUG] 1271 -135_0.216625|-120_0.216278|-105_0.216114|-90_0.216154|-75_0.21639|-60_0.216793|-45_0.217313|-30_0.218644|-15_0.219233|0_0.219792|15_0.220289|30_0.220703|45_0.221019|60_0.221229|75_0.221329|90_0.221317|105_0.221192|120_0.220216|135_0.219865|
[DEBUG] 1272 -135_0.216625|-120_0.216278|-105_0.216114|-90_0.216154|-75_0.21639|-60_0.216793|-45_0.217313|-30_0.218644|-15_0.219233|0_0.219792|15_0.220289|30_0.220703|45_0.221019|60_0.221229|75_0.221329|90_0.221317|105_0.221192|120_0.220216|135_0.219865|
[DEBUG] 1273 -135_0.216635|-120_0.216621|-105_0.2168|-90_0.217146|-75_0.218358|-60_0.218897|-45_0.219461|-30_0.220005|-15_0.220498|0_0.220916|15_0.221245|30_0.221475|45_0.221601|60_0.221621|75_0.221532|90_0.221336|105_0.221035|120_0.219893|135_0.219403|
[DEBUG] 1274 -135_0.216635|-120_0.216621|-105_0.2168|-90_0.217146|-75_0.218358|-60_0.218897|-45_0.219461|-30_0.220005|-15_0.220498|0_0.220916|15_0.221245|30_0.221475|45_0.221601|60_0.221621|75_0.221532|90_0.221336|105_0.221035|120_0.219893|135_0.219403|
[DEBUG] 1275 -135_0.216635|-120_0.216621|-105_0.2168|-90_0.217146|-75_0.218358|-60_0.218897|-45_0.219461|-30_0.220005|-15_0.220498|0_0.220916|15_0.221245|30_0.221475|45_0.221601|60_0.221621|75_0.221532|90_0.221336|105_0.221035|120_0.219893|135_0.219403|
[DEBUG] 1276 -135_0.22211|-120_0.225171|-105_0.232422|-90_0.231367|-75_0.225498|-60_0.223629|-45_0.22287|-30_0.220125|-15_0.220601|0_0.221001|15_0.221312|30_0.221524|45_0.221633|60_0.221638|75_0.221535|90_0.221325|105_0.221013|120_0.220604|135_0.220115|
[DEBUG] 1277 -135_0.22211|-120_0.225171|-105_0.232422|-90_0.231367|-75_0.225498|-60_0.223629|-45_0.22287|-30_0.220125|-15_0.220601|0_0.221001|15_0.221312|30_0.221524|45_0.221633|60_0.221638|75_0.221535|90_0.221325|105_0.221013|120_0.220604|135_0.220115|
[DEBUG] 1278 -135_0.22211|-120_0.225171|-105_0.232422|-90_0.231367|-75_0.225498|-60_0.223629|-45_0.22287|-30_0.220125|-15_0.220601|0_0.221001|15_0.221312|30_0.221524|45_0.221633|60_0.221638|75_0.221535|90_0.221325|105_0.221013|120_0.220604|135_0.220115|
[DEBUG] 1279 -135_0.217823|-120_0.218743|-105_0.219062|-90_0.219488|-75_0.219974|-60_0.220477|-45_0.220959|-30_0.221393|-15_0.221757|0_0.22204|15_0.222235|30_0.222337|45_0.222343|60_0.222253|75_0.222066|90_0.221785|105_0.221418|120_0.220977|135_0.219745|
[DEBUG] 1280 -135_0.217823|-120_0.218743|-105_0.219062|-90_0.219488|-75_0.219974|-60_0.220477|-45_0.220959|-30_0.221393|-15_0.221757|0_0.22204|15_0.222235|30_0.222337|45_0.222343|60_0.222253|75_0.222066|90_0.221785|105_0.221418|120_0.220977|135_0.219745|
[DEBUG] 1281 -135_0.217823|-120_0.218743|-105_0.219062|-90_0.219488|-75_0.219974|-60_0.220477|-45_0.220959|-30_0.221393|-15_0.221757|0_0.22204|15_0.222235|30_0.222337|45_0.222343|60_0.222253|75_0.222066|90_0.221785|105_0.221418|120_0.220977|135_0.219745|
[DEBUG] 1282 -135_0.216298|-120_0.216411|-105_0.216709|-90_0.217153|-75_0.217694|-60_0.21901|-45_0.219584|-30_0.220115|-15_0.220576|0_0.220948|15_0.221221|30_0.221387|45_0.221444|60_0.221389|75_0.221223|90_0.220227|105_0.219844|120_0.219367|135_0.218818|
[DEBUG] 1283 -135_0.216298|-120_0.216411|-105_0.216709|-90_0.217153|-75_0.217694|-60_0.21901|-45_0.219584|-30_0.220115|-15_0.220576|0_0.220948|15_0.221221|30_0.221387|45_0.221444|60_0.221389|75_0.221223|90_0.220227|105_0.219844|120_0.219367|135_0.218818|
[DEBUG] 1284 -135_0.216298|-120_0.216411|-105_0.216709|-90_0.217153|-75_0.217694|-60_0.21901|-45_0.219584|-30_0.220115|-15_0.220576|0_0.220948|15_0.221221|30_0.221387|45_0.221444|60_0.221389|75_0.221223|90_0.220227|105_0.219844|120_0.219367|135_0.218818|
[DEBUG] 1288 -135_0.215147|-120_0.214337|-105_0.213492|-90_0.212676|-75_0.211964|-60_0.211435|-45_0.211155|-30_0.211163|-15_0.211457|0_0.211997|15_0.212714|30_0.21353|45_0.21437|60_0.215172|75_0.21589|90_0.21649|105_0.216954|120_0.217269|135_0.217429|
[DEBUG] 1304 -135_0.19591|-120_0.195503|-105_0.195032|-90_0.194523|-75_0.19401|-60_0.193533|-45_0.19314|-30_0.192872|-15_0.19276|0_0.19282|15_0.193042|30_0.193401|45_0.193857|60_0.194364|75_0.194878|90_0.195364|105_0.195792|120_0.196144|135_0.196407|
[DEBUG] 1305 -135_0.19591|-120_0.195503|-105_0.195032|-90_0.194523|-75_0.19401|-60_0.193533|-45_0.19314|-30_0.192872|-15_0.19276|0_0.19282|15_0.193042|30_0.193401|45_0.193857|60_0.194364|75_0.194878|90_0.195364|105_0.195792|120_0.196144|135_0.196407|
[DEBUG] 1306 -135_0.196648|-120_0.196628|-105_0.196721|-90_0.196917|-75_0.197191|-60_0.197517|-45_0.197863|-30_0.198203|-15_0.198514|0_0.19878|15_0.19899|30_0.199137|45_0.199217|60_0.199229|75_0.199173|90_0.199049|105_0.19886|120_0.198613|135_0.198316|
[DEBUG] 1307 -135_0.196648|-120_0.196628|-105_0.196721|-90_0.196917|-75_0.197191|-60_0.197517|-45_0.197863|-30_0.198203|-15_0.198514|0_0.19878|15_0.19899|30_0.199137|45_0.199217|60_0.199229|75_0.199173|90_0.199049|105_0.19886|120_0.198613|135_0.198316|
[DEBUG] 1308 -135_0.196648|-120_0.196628|-105_0.196721|-90_0.196917|-75_0.197191|-60_0.197517|-45_0.197863|-30_0.198203|-15_0.198514|0_0.19878|15_0.19899|30_0.199137|45_0.199217|60_0.199229|75_0.199173|90_0.199049|105_0.19886|120_0.198613|135_0.198316|
[DEBUG] 1309 -135_0.199036|-120_0.198906|-105_0.198852|-90_0.198878|-75_0.198983|-60_0.199154|-45_0.199372|-30_0.199616|-15_0.199864|0_0.2001|15_0.200309|30_0.200481|45_0.200611|60_0.200693|75_0.200726|90_0.20071|105_0.200645|120_0.200531|135_0.200373|
[DEBUG] 1310 -135_0.199036|-120_0.198906|-105_0.198852|-90_0.198878|-75_0.198983|-60_0.199154|-45_0.199372|-30_0.199616|-15_0.199864|0_0.2001|15_0.200309|30_0.200481|45_0.200611|60_0.200693|75_0.200726|90_0.20071|105_0.200645|120_0.200531|135_0.200373|
[DEBUG] 1311 -135_0.199036|-120_0.198906|-105_0.198852|-90_0.198878|-75_0.198983|-60_0.199154|-45_0.199372|-30_0.199616|-15_0.199864|0_0.2001|15_0.200309|30_0.200481|45_0.200611|60_0.200693|75_0.200726|90_0.20071|105_0.200645|120_0.200531|135_0.200373|
[DEBUG] 1312 -135_0.199047|-120_0.198935|-105_0.1989|-90_0.198945|-75_0.199066|-60_0.199248|-45_0.199472|-30_0.199717|-15_0.199962|0_0.20019|15_0.20039|30_0.200551|45_0.200668|60_0.200738|75_0.20076|90_0.200732|105_0.200656|120_0.200533|135_0.200367|
[DEBUG] 1313 -135_0.199047|-120_0.198935|-105_0.1989|-90_0.198945|-75_0.199066|-60_0.199248|-45_0.199472|-30_0.199717|-15_0.199962|0_0.20019|15_0.20039|30_0.200551|45_0.200668|60_0.200738|75_0.20076|90_0.200732|105_0.200656|120_0.200533|135_0.200367|
[DEBUG] 1314 -135_0.199047|-120_0.198935|-105_0.1989|-90_0.198945|-75_0.199066|-60_0.199248|-45_0.199472|-30_0.199717|-15_0.199962|0_0.20019|15_0.20039|30_0.200551|45_0.200668|60_0.200738|75_0.20076|90_0.200732|105_0.200656|120_0.200533|135_0.200367|
[DEBUG] 1315 -135_0.198974|-120_0.198853|-105_0.198808|-90_0.198846|-75_0.198961|-60_0.199141|-45_0.199365|-30_0.199613|-15_0.199863|0_0.200097|15_0.200303|30_0.200471|45_0.200595|60_0.200672|75_0.200699|90_0.200676|105_0.200603|120_0.200483|135_0.200319|
[DEBUG] 1316 -135_0.198974|-120_0.198853|-105_0.198808|-90_0.198846|-75_0.198961|-60_0.199141|-45_0.199365|-30_0.199613|-15_0.199863|0_0.200097|15_0.200303|30_0.200471|45_0.200595|60_0.200672|75_0.200699|90_0.200676|105_0.200603|120_0.200483|135_0.200319|
[DEBUG] 1317 -135_0.198974|-120_0.198853|-105_0.198808|-90_0.198846|-75_0.198961|-60_0.199141|-45_0.199365|-30_0.199613|-15_0.199863|0_0.200097|15_0.200303|30_0.200471|45_0.200595|60_0.200672|75_0.200699|90_0.200676|105_0.200603|120_0.200483|135_0.200319|
[DEBUG] 1318 -135_0.198937|-120_0.198807|-105_0.198753|-90_0.198783|-75_0.198891|-60_0.199066|-45_0.199288|-30_0.199537|-15_0.19979|0_0.200029|15_0.200241|30_0.200415|45_0.200545|60_0.200628|75_0.200661|90_0.200643|105_0.200576|120_0.200459|135_0.200298|
[DEBUG] 1319 -135_0.198937|-120_0.198807|-105_0.198753|-90_0.198783|-75_0.198891|-60_0.199066|-45_0.199288|-30_0.199537|-15_0.19979|0_0.200029|15_0.200241|30_0.200415|45_0.200545|60_0.200628|75_0.200661|90_0.200643|105_0.200576|120_0.200459|135_0.200298|
[DEBUG] 1320 -135_0.198937|-120_0.198807|-105_0.198753|-90_0.198783|-75_0.198891|-60_0.199066|-45_0.199288|-30_0.199537|-15_0.19979|0_0.200029|15_0.200241|30_0.200415|45_0.200545|60_0.200628|75_0.200661|90_0.200643|105_0.200576|120_0.200459|135_0.200298|
[DEBUG] 1321 -135_0.198953|-120_0.198818|-105_0.198759|-90_0.198783|-75_0.198886|-60_0.199057|-45_0.199277|-30_0.199524|-15_0.199777|0_0.200018|15_0.200232|30_0.200408|45_0.200542|60_0.200627|75_0.200664|90_0.200649|105_0.200585|120_0.200472|135_0.200313|
[DEBUG] 1322 -135_0.198953|-120_0.198818|-105_0.198759|-90_0.198783|-75_0.198886|-60_0.199057|-45_0.199277|-30_0.199524|-15_0.199777|0_0.200018|15_0.200232|30_0.200408|45_0.200542|60_0.200627|75_0.200664|90_0.200649|105_0.200585|120_0.200472|135_0.200313|
[DEBUG] 1323 -135_0.198953|-120_0.198818|-105_0.198759|-90_0.198783|-75_0.198886|-60_0.199057|-45_0.199277|-30_0.199524|-15_0.199777|0_0.200018|15_0.200232|30_0.200408|45_0.200542|60_0.200627|75_0.200664|90_0.200649|105_0.200585|120_0.200472|135_0.200313|
[DEBUG] 1324 -135_0.198974|-120_0.198838|-105_0.198776|-90_0.198797|-75_0.198898|-60_0.199066|-45_0.199284|-30_0.19953|-15_0.199782|0_0.200023|15_0.200237|30_0.200415|45_0.200549|60_0.200636|75_0.200674|90_0.200661|105_0.200599|120_0.200488|135_0.200331|
[DEBUG] 1325 -135_0.198974|-120_0.198838|-105_0.198776|-90_0.198797|-75_0.198898|-60_0.199066|-45_0.199284|-30_0.19953|-15_0.199782|0_0.200023|15_0.200237|30_0.200415|45_0.200549|60_0.200636|75_0.200674|90_0.200661|105_0.200599|120_0.200488|135_0.200331|
[DEBUG] 1326 -135_0.198974|-120_0.198838|-105_0.198776|-90_0.198797|-75_0.198898|-60_0.199066|-45_0.199284|-30_0.19953|-15_0.199782|0_0.200023|15_0.200237|30_0.200415|45_0.200549|60_0.200636|75_0.200674|90_0.200661|105_0.200599|120_0.200488|135_0.200331|
[DEBUG] 1327 -135_0.198898|-120_0.198756|-105_0.19869|-90_0.198708|-75_0.198807|-60_0.198975|-45_0.199195|-30_0.199444|-15_0.1997|0_0.199945|15_0.200164|30_0.200346|45_0.200484|60_0.200575|75_0.200615|90_0.200604|105_0.200543|120_0.200432|135_0.200275|
[DEBUG] 1328 -135_0.198898|-120_0.198756|-105_0.19869|-90_0.198708|-75_0.198807|-60_0.198975|-45_0.199195|-30_0.199444|-15_0.1997|0_0.199945|15_0.200164|30_0.200346|45_0.200484|60_0.200575|75_0.200615|90_0.200604|105_0.200543|120_0.200432|135_0.200275|
[DEBUG] 1329 -135_0.198898|-120_0.198756|-105_0.19869|-90_0.198708|-75_0.198807|-60_0.198975|-45_0.199195|-30_0.199444|-15_0.1997|0_0.199945|15_0.200164|30_0.200346|45_0.200484|60_0.200575|75_0.200615|90_0.200604|105_0.200543|120_0.200432|135_0.200275|
[DEBUG] 1330 -135_0.198908|-120_0.198766|-105_0.198698|-90_0.198714|-75_0.198812|-60_0.198979|-45_0.199198|-30_0.199446|-15_0.199702|0_0.199947|15_0.200166|30_0.200349|45_0.200488|60_0.200579|75_0.20062|90_0.20061|105_0.20055|120_0.20044|135_0.200284|
[DEBUG] 1331 -135_0.198908|-120_0.198766|-105_0.198698|-90_0.198714|-75_0.198812|-60_0.198979|-45_0.199198|-30_0.199446|-15_0.199702|0_0.199947|15_0.200166|30_0.200349|45_0.200488|60_0.200579|75_0.20062|90_0.20061|105_0.20055|120_0.20044|135_0.200284|
