start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 12919 -135_0.223265|-120_0.222715|-105_0.222234|-90_0.221875|-75_0.221679|-60_0.22167|-45_0.221847|-30_0.222188|-15_0.226179|0_0.227847|15_0.23039|30_0.234195|45_0.237541|60_0.234102|75_0.231532|90_0.230031|105_0.229182|120_0.225861|135_0.225765|
[DEBUG] 12923 -135_0.223629|-120_0.223068|-105_0.222584|-90_0.222228|-75_0.222045|-60_0.222058|-45_0.222266|-30_0.22265|-15_0.22687|0_0.228528|15_0.231006|30_0.234606|45_0.238065|60_0.235609|75_0.232867|90_0.231169|105_0.230166|120_0.226413|135_0.226277|
[DEBUG] 12924 -135_0.223629|-120_0.223068|-105_0.222584|-90_0.222228|-75_0.222045|-60_0.222058|-45_0.222266|-30_0.22265|-15_0.22687|0_0.228528|15_0.231006|30_0.234606|45_0.238065|60_0.235609|75_0.232867|90_0.231169|105_0.230166|120_0.226413|135_0.226277|
[DEBUG] 12925 -135_0.223922|-120_0.223367|-105_0.222887|-90_0.222534|-75_0.222351|-60_0.222362|-45_0.222566|-30_0.222943|-15_0.227097|0_0.228718|15_0.23114|30_0.234658|45_0.238146|60_0.235871|75_0.233129|90_0.231419|105_0.230407|120_0.226668|135_0.226537|
[DEBUG] 12926 -135_0.223922|-120_0.223367|-105_0.222887|-90_0.222534|-75_0.222351|-60_0.222362|-45_0.222566|-30_0.222943|-15_0.227097|0_0.228718|15_0.23114|30_0.234658|45_0.238146|60_0.235871|75_0.233129|90_0.231419|105_0.230407|120_0.226668|135_0.226537|
[DEBUG] 12927 -135_0.223922|-120_0.223367|-105_0.222887|-90_0.222534|-75_0.222351|-60_0.222362|-45_0.222566|-30_0.222943|-15_0.227097|0_0.228718|15_0.23114|30_0.234658|45_0.238146|60_0.235871|75_0.233129|90_0.231419|105_0.230407|120_0.226668|135_0.226537|
[DEBUG] 12928 -135_0.224001|-120_0.223449|-105_0.222971|-90_0.222621|-75_0.22244|-60_0.222452|-45_0.222656|-30_0.223031|-15_0.227185|0_0.228803|15_0.231222|30_0.234735|45_0.238229|60_0.235953|75_0.233207|90_0.231494|105_0.23048|120_0.226737|135_0.226606|
[DEBUG] 12929 -135_0.224001|-120_0.223449|-105_0.222971|-90_0.222621|-75_0.22244|-60_0.222452|-45_0.222656|-30_0.223031|-15_0.227185|0_0.228803|15_0.231222|30_0.234735|45_0.238229|60_0.235953|75_0.233207|90_0.231494|105_0.23048|120_0.226737|135_0.226606|
[DEBUG] 12930 -135_0.224001|-120_0.223449|-105_0.222971|-90_0.222621|-75_0.22244|-60_0.222452|-45_0.222656|-30_0.223031|-15_0.227185|0_0.228803|15_0.231222|30_0.234735|45_0.238229|60_0.235953|75_0.233207|90_0.231494|105_0.23048|120_0.226737|135_0.226606|
[DEBUG] 12931 -135_0.224011|-120_0.223459|-105_0.222984|-90_0.222636|-75_0.222458|-60_0.222472|-45_0.22268|-30_0.223058|-15_0.227135|0_0.228751|15_0.231175|30_0.234717|45_0.238265|60_0.235918|75_0.233145|90_0.23143|105_0.23042|120_0.226758|135_0.226625|
[DEBUG] 12932 -135_0.224011|-120_0.223459|-105_0.222984|-90_0.222636|-75_0.222458|-60_0.222472|-45_0.22268|-30_0.223058|-15_0.227135|0_0.228751|15_0.231175|30_0.234717|45_0.238265|60_0.235918|75_0.233145|90_0.23143|105_0.23042|120_0.226758|135_0.226625|
[DEBUG] 12933 -135_0.224011|-120_0.223459|-105_0.222984|-90_0.222636|-75_0.222458|-60_0.222472|-45_0.22268|-30_0.223058|-15_0.227135|0_0.228751|15_0.231175|30_0.234717|45_0.238265|60_0.235918|75_0.233145|90_0.23143|105_0.23042|120_0.226758|135_0.226625|
[DEBUG] 12934 -135_0.223881|-120_0.223325|-105_0.222843|-90_0.222488|-75_0.222303|-60_0.222312|-45_0.222514|-30_0.22289|-15_0.22696|0_0.22857|15_0.230983|30_0.234512|45_0.238108|60_0.235825|75_0.23304|90_0.231315|105_0.2303|120_0.226627|135_0.226497|
[DEBUG] 12935 -135_0.223881|-120_0.223325|-105_0.222843|-90_0.222488|-75_0.222303|-60_0.222312|-45_0.222514|-30_0.22289|-15_0.22696|0_0.22857|15_0.230983|30_0.234512|45_0.238108|60_0.235825|75_0.23304|90_0.231315|105_0.2303|120_0.226627|135_0.226497|
[DEBUG] 12936 -135_0.223881|-120_0.223325|-105_0.222843|-90_0.222488|-75_0.222303|-60_0.222312|-45_0.222514|-30_0.22289|-15_0.22696|0_0.22857|15_0.230983|30_0.234512|45_0.238108|60_0.235825|75_0.23304|90_0.231315|105_0.2303|120_0.226627|135_0.226497|
[DEBUG] 12937 -135_0.224068|-120_0.223511|-105_0.223029|-90_0.222674|-75_0.222489|-60_0.222498|-45_0.222701|-30_0.223077|-15_0.227108|0_0.228712|15_0.231119|30_0.234651|45_0.238316|60_0.236034|75_0.233222|90_0.231486|105_0.230465|120_0.226819|135_0.226688|
[DEBUG] 12938 -135_0.224068|-120_0.223511|-105_0.223029|-90_0.222674|-75_0.222489|-60_0.222498|-45_0.222701|-30_0.223077|-15_0.227108|0_0.228712|15_0.231119|30_0.234651|45_0.238316|60_0.236034|75_0.233222|90_0.231486|105_0.230465|120_0.226819|135_0.226688|
[DEBUG] 12939 -135_0.224068|-120_0.223511|-105_0.223029|-90_0.222674|-75_0.222489|-60_0.222498|-45_0.222701|-30_0.223077|-15_0.227108|0_0.228712|15_0.231119|30_0.234651|45_0.238316|60_0.236034|75_0.233222|90_0.231486|105_0.230465|120_0.226819|135_0.226688|
[DEBUG] 12940 -135_0.224055|-120_0.223497|-105_0.223013|-90_0.222654|-75_0.222463|-60_0.222465|-45_0.222662|-30_0.223032|-15_0.227027|0_0.22863|15_0.23104|30_0.234585|45_0.238244|60_0.235931|75_0.233121|90_0.231394|105_0.230383|120_0.22678|135_0.226653|
[DEBUG] 12941 -135_0.224055|-120_0.223497|-105_0.223013|-90_0.222654|-75_0.222463|-60_0.222465|-45_0.222662|-30_0.223032|-15_0.227027|0_0.22863|15_0.23104|30_0.234585|45_0.238244|60_0.235931|75_0.233121|90_0.231394|105_0.230383|120_0.22678|135_0.226653|
[DEBUG] 12942 -135_0.224055|-120_0.223497|-105_0.223013|-90_0.222654|-75_0.222463|-60_0.222465|-45_0.222662|-30_0.223032|-15_0.227027|0_0.22863|15_0.23104|30_0.234585|45_0.238244|60_0.235931|75_0.233121|90_0.231394|105_0.230383|120_0.22678|135_0.226653|
[DEBUG] 12943 -135_0.223705|-120_0.223147|-105_0.222664|-90_0.222307|-75_0.22212|-60_0.222127|-45_0.222329|-30_0.222705|-15_0.226673|0_0.228281|15_0.230701|30_0.234269|45_0.237942|60_0.235566|75_0.232749|90_0.231025|105_0.230018|120_0.226455|135_0.226324|
[DEBUG] 12944 -135_0.223705|-120_0.223147|-105_0.222664|-90_0.222307|-75_0.22212|-60_0.222127|-45_0.222329|-30_0.222705|-15_0.226673|0_0.228281|15_0.230701|30_0.234269|45_0.237942|60_0.235566|75_0.232749|90_0.231025|105_0.230018|120_0.226455|135_0.226324|
[DEBUG] 12945 -135_0.223705|-120_0.223147|-105_0.222664|-90_0.222307|-75_0.22212|-60_0.222127|-45_0.222329|-30_0.222705|-15_0.226673|0_0.228281|15_0.230701|30_0.234269|45_0.237942|60_0.235566|75_0.232749|90_0.231025|105_0.230018|120_0.226455|135_0.226324|
[DEBUG] 12946 -135_0.224013|-120_0.223455|-105_0.222971|-90_0.222615|-75_0.22243|-60_0.222438|-45_0.222642|-30_0.223019|-15_0.22698|0_0.228593|15_0.231022|30_0.234602|45_0.23826|60_0.235845|75_0.233032|90_0.231315|105_0.230313|120_0.226768|135_0.226637|
[DEBUG] 12947 -135_0.224013|-120_0.223455|-105_0.222971|-90_0.222615|-75_0.22243|-60_0.222438|-45_0.222642|-30_0.223019|-15_0.22698|0_0.228593|15_0.231022|30_0.234602|45_0.23826|60_0.235845|75_0.233032|90_0.231315|105_0.230313|120_0.226768|135_0.226637|
[DEBUG] 12948 -135_0.224013|-120_0.223455|-105_0.222971|-90_0.222615|-75_0.22243|-60_0.222438|-45_0.222642|-30_0.223019|-15_0.22698|0_0.228593|15_0.231022|30_0.234602|45_0.23826|60_0.235845|75_0.233032|90_0.231315|105_0.230313|120_0.226768|135_0.226637|
[DEBUG] 12949 -135_0.223879|-120_0.223319|-105_0.222832|-90_0.222471|-75_0.222278|-60_0.22228|-45_0.222476|-30_0.222848|-15_0.226801|0_0.228413|15_0.230845|30_0.234431|45_0.238078|60_0.235646|75_0.232844|90_0.231136|105_0.230141|120_0.226611|135_0.226484|
[DEBUG] 13564 -135_0.230006|-120_0.230115|-105_0.230285|-90_0.230498|-75_0.230731|-60_0.230965|-45_0.231182|-30_0.231372|-15_0.231526|0_0.231639|15_0.231709|30_0.231733|45_0.23171|60_0.231641|75_0.231526|90_0.231368|105_0.231173|120_0.23095|135_0.230714|
[DEBUG] 13565 -135_0.230006|-120_0.230115|-105_0.230285|-90_0.230498|-75_0.230731|-60_0.230965|-45_0.231182|-30_0.231372|-15_0.231526|0_0.231639|15_0.231709|30_0.231733|45_0.23171|60_0.231641|75_0.231526|90_0.231368|105_0.231173|120_0.23095|135_0.230714|
[DEBUG] 13566 -135_0.230006|-120_0.230115|-105_0.230285|-90_0.230498|-75_0.230731|-60_0.230965|-45_0.231182|-30_0.231372|-15_0.231526|0_0.231639|15_0.231709|30_0.231733|45_0.23171|60_0.231641|75_0.231526|90_0.231368|105_0.231173|120_0.23095|135_0.230714|
[DEBUG] 13570 -135_0.230087|-120_0.23019|-105_0.230354|-90_0.230562|-75_0.230791|-60_0.231021|-45_0.231237|-30_0.231425|-15_0.231579|0_0.231692|15_0.231762|30_0.231787|45_0.231766|60_0.2317|75_0.231588|90_0.231433|105_0.231242|120_0.231024|135_0.230792|
[DEBUG] 13571 -135_0.230087|-120_0.23019|-105_0.230354|-90_0.230562|-75_0.230791|-60_0.231021|-45_0.231237|-30_0.231425|-15_0.231579|0_0.231692|15_0.231762|30_0.231787|45_0.231766|60_0.2317|75_0.231588|90_0.231433|105_0.231242|120_0.231024|135_0.230792|
[DEBUG] 13572 -135_0.230087|-120_0.23019|-105_0.230354|-90_0.230562|-75_0.230791|-60_0.231021|-45_0.231237|-30_0.231425|-15_0.231579|0_0.231692|15_0.231762|30_0.231787|45_0.231766|60_0.2317|75_0.231588|90_0.231433|105_0.231242|120_0.231024|135_0.230792|
[DEBUG] 13573 -135_0.23008|-120_0.230174|-105_0.230332|-90_0.230535|-75_0.230763|-60_0.230994|-45_0.231212|-30_0.231405|-15_0.231562|0_0.231681|15_0.231756|30_0.231786|45_0.231771|60_0.23171|75_0.231603|90_0.231454|105_0.231266|120_0.231051|135_0.23082|
[DEBUG] 13574 -135_0.23008|-120_0.230174|-105_0.230332|-90_0.230535|-75_0.230763|-60_0.230994|-45_0.231212|-30_0.231405|-15_0.231562|0_0.231681|15_0.231756|30_0.231786|45_0.231771|60_0.23171|75_0.231603|90_0.231454|105_0.231266|120_0.231051|135_0.23082|
[DEBUG] 13575 -135_0.23008|-120_0.230174|-105_0.230332|-90_0.230535|-75_0.230763|-60_0.230994|-45_0.231212|-30_0.231405|-15_0.231562|0_0.231681|15_0.231756|30_0.231786|45_0.231771|60_0.23171|75_0.231603|90_0.231454|105_0.231266|120_0.231051|135_0.23082|
[DEBUG] 13576 -135_0.230087|-120_0.23019|-105_0.230354|-90_0.230561|-75_0.23079|-60_0.23102|-45_0.231236|-30_0.231425|-15_0.231578|0_0.231691|15_0.231762|30_0.231787|45_0.231767|60_0.2317|75_0.231588|90_0.231434|105_0.231243|120_0.231024|135_0.230793|
[DEBUG] 13577 -135_0.230087|-120_0.23019|-105_0.230354|-90_0.230561|-75_0.23079|-60_0.23102|-45_0.231236|-30_0.231425|-15_0.231578|0_0.231691|15_0.231762|30_0.231787|45_0.231767|60_0.2317|75_0.231588|90_0.231434|105_0.231243|120_0.231024|135_0.230793|
[DEBUG] 13578 -135_0.230087|-120_0.23019|-105_0.230354|-90_0.230561|-75_0.23079|-60_0.23102|-45_0.231236|-30_0.231425|-15_0.231578|0_0.231691|15_0.231762|30_0.231787|45_0.231767|60_0.2317|75_0.231588|90_0.231434|105_0.231243|120_0.231024|135_0.230793|
[DEBUG] 13579 -135_0.229999|-120_0.230098|-105_0.23026|-90_0.230467|-75_0.230698|-60_0.230933|-45_0.231154|-30_0.231348|-15_0.231508|0_0.231627|15_0.231703|30_0.231734|45_0.231719|60_0.231657|75_0.231549|90_0.231397|105_0.231208|120_0.230989|135_0.230754|
[DEBUG] 13580 -135_0.229999|-120_0.230098|-105_0.23026|-90_0.230467|-75_0.230698|-60_0.230933|-45_0.231154|-30_0.231348|-15_0.231508|0_0.231627|15_0.231703|30_0.231734|45_0.231719|60_0.231657|75_0.231549|90_0.231397|105_0.231208|120_0.230989|135_0.230754|
[DEBUG] 13581 -135_0.229999|-120_0.230098|-105_0.23026|-90_0.230467|-75_0.230698|-60_0.230933|-45_0.231154|-30_0.231348|-15_0.231508|0_0.231627|15_0.231703|30_0.231734|45_0.231719|60_0.231657|75_0.231549|90_0.231397|105_0.231208|120_0.230989|135_0.230754|
[DEBUG] 13582 -135_0.230016|-120_0.23012|-105_0.230285|-90_0.230495|-75_0.230727|-60_0.23096|-45_0.231179|-30_0.231371|-15_0.231527|0_0.231643|15_0.231715|30_0.231742|45_0.231723|60_0.231657|75_0.231546|90_0.231391|105_0.231199|120_0.230978|135_0.230744|
[DEBUG] 13583 -135_0.230016|-120_0.23012|-105_0.230285|-90_0.230495|-75_0.230727|-60_0.23096|-45_0.231179|-30_0.231371|-15_0.231527|0_0.231643|15_0.231715|30_0.231742|45_0.231723|60_0.231657|75_0.231546|90_0.231391|105_0.231199|120_0.230978|135_0.230744|
[DEBUG] 13584 -135_0.230016|-120_0.23012|-105_0.230285|-90_0.230495|-75_0.230727|-60_0.23096|-45_0.231179|-30_0.231371|-15_0.231527|0_0.231643|15_0.231715|30_0.231742|45_0.231723|60_0.231657|75_0.231546|90_0.231391|105_0.231199|120_0.230978|135_0.230744|
