start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 1609 -135_0.185885|-120_0.185871|-105_0.186127|-90_0.186622|-75_0.187297|-60_0.188081|-45_0.188901|-30_0.189694|-15_0.190411|0_0.191016|15_0.191487|30_0.19181|45_0.191977|60_0.191985|75_0.191835|90_0.191528|105_0.191072|120_0.19048|135_0.189773|
[DEBUG] 1631 -135_0.194879|-120_0.194945|-105_0.195143|-90_0.195449|-75_0.19583|-60_0.196248|-45_0.196669|-30_0.197062|-15_0.197407|0_0.197687|15_0.197893|30_0.19802|45_0.198063|60_0.198023|75_0.197901|90_0.197698|105_0.197421|120_0.197079|135_0.196687|
[DEBUG] 1632 -135_0.194879|-120_0.194945|-105_0.195143|-90_0.195449|-75_0.19583|-60_0.196248|-45_0.196669|-30_0.197062|-15_0.197407|0_0.197687|15_0.197893|30_0.19802|45_0.198063|60_0.198023|75_0.197901|90_0.197698|105_0.197421|120_0.197079|135_0.196687|
[DEBUG] 1633 -135_0.193072|-120_0.193189|-105_0.193457|-90_0.193845|-75_0.194312|-60_0.194812|-45_0.195307|-30_0.195762|-15_0.196155|0_0.196467|15_0.19669|30_0.196818|45_0.196847|60_0.196777|75_0.19661|90_0.196349|105_0.196002|120_0.195582|135_0.195107|
[DEBUG] 1634 -135_0.193072|-120_0.193189|-105_0.193457|-90_0.193845|-75_0.194312|-60_0.194812|-45_0.195307|-30_0.195762|-15_0.196155|0_0.196467|15_0.19669|30_0.196818|45_0.196847|60_0.196777|75_0.19661|90_0.196349|105_0.196002|120_0.195582|135_0.195107|
[DEBUG] 1635 -135_0.193072|-120_0.193189|-105_0.193457|-90_0.193845|-75_0.194312|-60_0.194812|-45_0.195307|-30_0.195762|-15_0.196155|0_0.196467|15_0.19669|30_0.196818|45_0.196847|60_0.196777|75_0.19661|90_0.196349|105_0.196002|120_0.195582|135_0.195107|
[DEBUG] 1636 -135_0.193984|-120_0.194087|-105_0.19433|-90_0.194684|-75_0.195112|-60_0.195572|-45_0.196028|-30_0.196449|-15_0.196812|0_0.197103|15_0.19731|30_0.19743|45_0.19746|60_0.197398|75_0.197247|90_0.197009|105_0.196691|120_0.196306|135_0.195869|
[DEBUG] 1637 -135_0.193984|-120_0.194087|-105_0.19433|-90_0.194684|-75_0.195112|-60_0.195572|-45_0.196028|-30_0.196449|-15_0.196812|0_0.197103|15_0.19731|30_0.19743|45_0.19746|60_0.197398|75_0.197247|90_0.197009|105_0.196691|120_0.196306|135_0.195869|
[DEBUG] 1638 -135_0.193984|-120_0.194087|-105_0.19433|-90_0.194684|-75_0.195112|-60_0.195572|-45_0.196028|-30_0.196449|-15_0.196812|0_0.197103|15_0.19731|30_0.19743|45_0.19746|60_0.197398|75_0.197247|90_0.197009|105_0.196691|120_0.196306|135_0.195869|
[DEBUG] 1639 -135_0.193221|-120_0.192898|-105_0.192723|-90_0.192716|-75_0.192878|-60_0.19319|-45_0.193616|-30_0.194111|-15_0.19463|0_0.195133|15_0.195589|30_0.195974|45_0.196274|60_0.196479|75_0.196585|90_0.196589|105_0.196491|120_0.196294|135_0.196002|
[DEBUG] 1640 -135_0.193221|-120_0.192898|-105_0.192723|-90_0.192716|-75_0.192878|-60_0.19319|-45_0.193616|-30_0.194111|-15_0.19463|0_0.195133|15_0.195589|30_0.195974|45_0.196274|60_0.196479|75_0.196585|90_0.196589|105_0.196491|120_0.196294|135_0.196002|
[DEBUG] 1641 -135_0.193221|-120_0.192898|-105_0.192723|-90_0.192716|-75_0.192878|-60_0.19319|-45_0.193616|-30_0.194111|-15_0.19463|0_0.195133|15_0.195589|30_0.195974|45_0.196274|60_0.196479|75_0.196585|90_0.196589|105_0.196491|120_0.196294|135_0.196002|
[DEBUG] 1653 -135_0.196638|-120_0.196293|-105_0.196016|-90_0.195837|-75_0.195777|-60_0.195843|-45_0.196028|-30_0.196309|-15_0.196657|0_0.197037|15_0.197418|30_0.197773|45_0.198083|60_0.198335|75_0.198519|90_0.19863|105_0.198666|120_0.198626|135_0.198511|
[DEBUG] 1654 -135_0.194832|-120_0.194619|-105_0.194541|-90_0.194607|-75_0.19481|-60_0.195125|-45_0.195518|-30_0.195951|-15_0.196386|0_0.196794|15_0.197152|30_0.197443|45_0.197658|60_0.19779|75_0.197836|90_0.197797|105_0.197671|120_0.197463|135_0.197178|
[DEBUG] 1655 -135_0.194832|-120_0.194619|-105_0.194541|-90_0.194607|-75_0.19481|-60_0.195125|-45_0.195518|-30_0.195951|-15_0.196386|0_0.196794|15_0.197152|30_0.197443|45_0.197658|60_0.19779|75_0.197836|90_0.197797|105_0.197671|120_0.197463|135_0.197178|
[DEBUG] 1656 -135_0.194832|-120_0.194619|-105_0.194541|-90_0.194607|-75_0.19481|-60_0.195125|-45_0.195518|-30_0.195951|-15_0.196386|0_0.196794|15_0.197152|30_0.197443|45_0.197658|60_0.19779|75_0.197836|90_0.197797|105_0.197671|120_0.197463|135_0.197178|
