start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 3910 -135_0.19996|-120_0.199961|-105_0.200026|-90_0.200148|-75_0.200314|-60_0.200506|-45_0.200707|-30_0.200902|-15_0.201078|0_0.201227|15_0.201343|30_0.201421|45_0.201461|60_0.20146|75_0.20142|90_0.20134|105_0.201223|120_0.201073|135_0.200896|
[DEBUG] 6592 -135_0.228226|-120_0.228294|-105_0.228401|-90_0.228534|-75_0.228679|-60_0.228825|-45_0.22896|-30_0.229079|-15_0.229176|0_0.229249|15_0.229296|30_0.229316|45_0.229309|60_0.229274|75_0.229211|90_0.229121|105_0.229006|120_0.22887|135_0.228721|
[DEBUG] 6593 -135_0.228226|-120_0.228294|-105_0.228401|-90_0.228534|-75_0.228679|-60_0.228825|-45_0.22896|-30_0.229079|-15_0.229176|0_0.229249|15_0.229296|30_0.229316|45_0.229309|60_0.229274|75_0.229211|90_0.229121|105_0.229006|120_0.22887|135_0.228721|
[DEBUG] 6594 -135_0.228226|-120_0.228294|-105_0.228401|-90_0.228534|-75_0.228679|-60_0.228825|-45_0.22896|-30_0.229079|-15_0.229176|0_0.229249|15_0.229296|30_0.229316|45_0.229309|60_0.229274|75_0.229211|90_0.229121|105_0.229006|120_0.22887|135_0.228721|
[DEBUG] 6595 -135_0.228318|-120_0.228385|-105_0.22849|-90_0.228619|-75_0.228759|-60_0.228899|-45_0.229029|-30_0.229143|-15_0.229235|0_0.229304|15_0.229348|30_0.229367|45_0.229359|60_0.229325|75_0.229263|90_0.229175|105_0.229063|120_0.228932|135_0.228787|
[DEBUG] 6596 -135_0.228318|-120_0.228385|-105_0.22849|-90_0.228619|-75_0.228759|-60_0.228899|-45_0.229029|-30_0.229143|-15_0.229235|0_0.229304|15_0.229348|30_0.229367|45_0.229359|60_0.229325|75_0.229263|90_0.229175|105_0.229063|120_0.228932|135_0.228787|
[DEBUG] 6597 -135_0.228318|-120_0.228385|-105_0.22849|-90_0.228619|-75_0.228759|-60_0.228899|-45_0.229029|-30_0.229143|-15_0.229235|0_0.229304|15_0.229348|30_0.229367|45_0.229359|60_0.229325|75_0.229263|90_0.229175|105_0.229063|120_0.228932|135_0.228787|
[DEBUG] 6598 -135_0.228258|-120_0.228326|-105_0.228432|-90_0.228563|-75_0.228705|-60_0.228848|-45_0.22898|-30_0.229095|-15_0.229189|0_0.22926|15_0.229305|30_0.229324|45_0.229316|60_0.229281|75_0.229219|90_0.22913|105_0.229016|120_0.228883|135_0.228736|
[DEBUG] 6599 -135_0.228258|-120_0.228326|-105_0.228432|-90_0.228563|-75_0.228705|-60_0.228848|-45_0.22898|-30_0.229095|-15_0.229189|0_0.22926|15_0.229305|30_0.229324|45_0.229316|60_0.229281|75_0.229219|90_0.22913|105_0.229016|120_0.228883|135_0.228736|
[DEBUG] 6600 -135_0.228258|-120_0.228326|-105_0.228432|-90_0.228563|-75_0.228705|-60_0.228848|-45_0.22898|-30_0.229095|-15_0.229189|0_0.22926|15_0.229305|30_0.229324|45_0.229316|60_0.229281|75_0.229219|90_0.22913|105_0.229016|120_0.228883|135_0.228736|
[DEBUG] 6601 -135_0.228253|-120_0.228317|-105_0.22842|-90_0.228549|-75_0.22869|-60_0.228833|-45_0.228966|-30_0.229083|-15_0.229178|0_0.229251|15_0.229298|30_0.229319|45_0.229314|60_0.229281|75_0.229221|90_0.229135|105_0.229023|120_0.228891|135_0.228746|
[DEBUG] 6602 -135_0.228253|-120_0.228317|-105_0.22842|-90_0.228549|-75_0.22869|-60_0.228833|-45_0.228966|-30_0.229083|-15_0.229178|0_0.229251|15_0.229298|30_0.229319|45_0.229314|60_0.229281|75_0.229221|90_0.229135|105_0.229023|120_0.228891|135_0.228746|
[DEBUG] 6603 -135_0.228253|-120_0.228317|-105_0.22842|-90_0.228549|-75_0.22869|-60_0.228833|-45_0.228966|-30_0.229083|-15_0.229178|0_0.229251|15_0.229298|30_0.229319|45_0.229314|60_0.229281|75_0.229221|90_0.229135|105_0.229023|120_0.228891|135_0.228746|
[DEBUG] 6604 -135_0.228274|-120_0.228335|-105_0.228434|-90_0.22856|-75_0.2287|-60_0.228841|-45_0.228974|-30_0.229091|-15_0.229188|0_0.229261|15_0.22931|30_0.229333|45_0.22933|60_0.2293|75_0.229243|90_0.229159|105_0.229051|120_0.228922|135_0.228778|
