start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 10173 -135_0.195412|-120_0.194957|-105_0.194447|-90_0.193912|-75_0.193393|-60_0.192935|-45_0.192585|-30_0.192382|-15_0.192351|0_0.192496|15_0.192799|30_0.193225|45_0.193728|60_0.194262|75_0.194785|90_0.195262|105_0.195669|120_0.195991|135_0.196215|
[DEBUG] 11015 -135_0.232953|-120_0.232797|-105_0.232621|-90_0.236944|-75_0.237661|-60_0.23894|-45_0.240766|-30_0.242284|-15_0.24138|0_0.239276|15_0.23762|30_0.236616|45_0.231957|60_0.232155|75_0.232373|90_0.232588|105_0.232784|120_0.23295|135_0.233078|
[DEBUG] 11016 -135_0.232953|-120_0.232797|-105_0.232621|-90_0.236944|-75_0.237661|-60_0.23894|-45_0.240766|-30_0.242284|-15_0.24138|0_0.239276|15_0.23762|30_0.236616|45_0.231957|60_0.232155|75_0.232373|90_0.232588|105_0.232784|120_0.23295|135_0.233078|
[DEBUG] 11017 -135_0.233231|-120_0.233069|-105_0.232883|-90_0.237447|-75_0.238124|-60_0.239349|-45_0.241125|-30_0.242686|-15_0.241926|0_0.239876|15_0.238219|30_0.237197|45_0.232217|60_0.23242|75_0.232642|90_0.23286|105_0.233058|120_0.233227|135_0.233358|
[DEBUG] 11018 -135_0.233231|-120_0.233069|-105_0.232883|-90_0.237447|-75_0.238124|-60_0.239349|-45_0.241125|-30_0.242686|-15_0.241926|0_0.239876|15_0.238219|30_0.237197|45_0.232217|60_0.23242|75_0.232642|90_0.23286|105_0.233058|120_0.233227|135_0.233358|
[DEBUG] 11019 -135_0.233231|-120_0.233069|-105_0.232883|-90_0.237447|-75_0.238124|-60_0.239349|-45_0.241125|-30_0.242686|-15_0.241926|0_0.239876|15_0.238219|30_0.237197|45_0.232217|60_0.23242|75_0.232642|90_0.23286|105_0.233058|120_0.233227|135_0.233358|
[DEBUG] 11020 -135_0.232928|-120_0.232771|-105_0.232591|-90_0.237659|-75_0.238342|-60_0.239522|-45_0.241114|-30_0.242352|-15_0.241622|0_0.239803|15_0.238274|30_0.237303|45_0.236838|60_0.232079|75_0.232301|90_0.232521|105_0.232723|120_0.232895|135_0.23303|
[DEBUG] 11021 -135_0.232928|-120_0.232771|-105_0.232591|-90_0.237659|-75_0.238342|-60_0.239522|-45_0.241114|-30_0.242352|-15_0.241622|0_0.239803|15_0.238274|30_0.237303|45_0.236838|60_0.232079|75_0.232301|90_0.232521|105_0.232723|120_0.232895|135_0.23303|
[DEBUG] 11022 -135_0.232928|-120_0.232771|-105_0.232591|-90_0.237659|-75_0.238342|-60_0.239522|-45_0.241114|-30_0.242352|-15_0.241622|0_0.239803|15_0.238274|30_0.237303|45_0.236838|60_0.232079|75_0.232301|90_0.232521|105_0.232723|120_0.232895|135_0.23303|
[DEBUG] 11023 -135_0.233074|-120_0.23292|-105_0.232746|-90_0.23816|-75_0.238868|-60_0.239997|-45_0.241326|-30_0.242038|-15_0.241212|0_0.239685|15_0.238396|30_0.237576|45_0.232066|60_0.232266|75_0.232484|90_0.2327|105_0.232896|120_0.233063|135_0.233192|
[DEBUG] 11024 -135_0.233074|-120_0.23292|-105_0.232746|-90_0.23816|-75_0.238868|-60_0.239997|-45_0.241326|-30_0.242038|-15_0.241212|0_0.239685|15_0.238396|30_0.237576|45_0.232066|60_0.232266|75_0.232484|90_0.2327|105_0.232896|120_0.233063|135_0.233192|
[DEBUG] 11025 -135_0.233074|-120_0.23292|-105_0.232746|-90_0.23816|-75_0.238868|-60_0.239997|-45_0.241326|-30_0.242038|-15_0.241212|0_0.239685|15_0.238396|30_0.237576|45_0.232066|60_0.232266|75_0.232484|90_0.2327|105_0.232896|120_0.233063|135_0.233192|
[DEBUG] 11026 -135_0.233071|-120_0.232911|-105_0.232728|-90_0.238616|-75_0.239308|-60_0.240397|-45_0.241662|-30_0.242299|-15_0.241466|0_0.24|15_0.238764|30_0.237977|45_0.232031|60_0.232239|75_0.232463|90_0.232683|105_0.232884|120_0.233054|135_0.233187|
[DEBUG] 11027 -135_0.233071|-120_0.232911|-105_0.232728|-90_0.238616|-75_0.239308|-60_0.240397|-45_0.241662|-30_0.242299|-15_0.241466|0_0.24|15_0.238764|30_0.237977|45_0.232031|60_0.232239|75_0.232463|90_0.232683|105_0.232884|120_0.233054|135_0.233187|
[DEBUG] 11028 -135_0.233071|-120_0.232911|-105_0.232728|-90_0.238616|-75_0.239308|-60_0.240397|-45_0.241662|-30_0.242299|-15_0.241466|0_0.24|15_0.238764|30_0.237977|45_0.232031|60_0.232239|75_0.232463|90_0.232683|105_0.232884|120_0.233054|135_0.233187|
