start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 1615 -135_0.197977|-120_0.198172|-105_0.198938|-90_0.20023|-75_0.201853|-60_0.203239|-45_0.204595|-30_0.205959|-15_0.207204|0_0.208255|15_0.209073|30_0.209642|45_0.20997|60_0.210088|75_0.209925|90_0.209136|105_0.207983|120_0.206665|135_0.205192|
[DEBUG] 1648 -135_0.213061|-120_0.214398|-105_0.212483|-90_0.211536|-75_0.211466|-60_0.212003|-45_0.207558|-30_0.20879|-15_0.209828|0_0.210638|15_0.2112|30_0.211504|45_0.211546|60_0.211324|75_0.210838|90_0.210083|105_0.209058|120_0.207805|135_0.206399|
[DEBUG] 1649 -135_0.213061|-120_0.214398|-105_0.212483|-90_0.211536|-75_0.211466|-60_0.212003|-45_0.207558|-30_0.20879|-15_0.209828|0_0.210638|15_0.2112|30_0.211504|45_0.211546|60_0.211324|75_0.210838|90_0.210083|105_0.209058|120_0.207805|135_0.206399|
[DEBUG] 1650 -135_0.213061|-120_0.214398|-105_0.212483|-90_0.211536|-75_0.211466|-60_0.212003|-45_0.207558|-30_0.20879|-15_0.209828|0_0.210638|15_0.2112|30_0.211504|45_0.211546|60_0.211324|75_0.210838|90_0.210083|105_0.209058|120_0.207805|135_0.206399|
[DEBUG] 1651 -135_0.213494|-120_0.213889|-105_0.212679|-90_0.212076|-75_0.212182|-60_0.212816|-45_0.207806|-30_0.209021|-15_0.210043|0_0.210838|15_0.211384|30_0.211671|45_0.211691|60_0.211442|75_0.210927|90_0.210152|105_0.209139|120_0.20792|135_0.206553|
[DEBUG] 1652 -135_0.213494|-120_0.213889|-105_0.212679|-90_0.212076|-75_0.212182|-60_0.212816|-45_0.207806|-30_0.209021|-15_0.210043|0_0.210838|15_0.211384|30_0.211671|45_0.211691|60_0.211442|75_0.210927|90_0.210152|105_0.209139|120_0.20792|135_0.206553|
[DEBUG] 1653 -135_0.213494|-120_0.213889|-105_0.212679|-90_0.212076|-75_0.212182|-60_0.212816|-45_0.207806|-30_0.209021|-15_0.210043|0_0.210838|15_0.211384|30_0.211671|45_0.211691|60_0.211442|75_0.210927|90_0.210152|105_0.209139|120_0.20792|135_0.206553|
[DEBUG] 1654 -135_0.212183|-120_0.213199|-105_0.212815|-90_0.212431|-75_0.212551|-60_0.213128|-45_0.207982|-30_0.209169|-15_0.210159|0_0.210918|15_0.211426|30_0.211672|45_0.21165|60_0.211359|75_0.210801|90_0.209987|105_0.208941|120_0.207698|135_0.206316|
[DEBUG] 1655 -135_0.212183|-120_0.213199|-105_0.212815|-90_0.212431|-75_0.212551|-60_0.213128|-45_0.207982|-30_0.209169|-15_0.210159|0_0.210918|15_0.211426|30_0.211672|45_0.21165|60_0.211359|75_0.210801|90_0.209987|105_0.208941|120_0.207698|135_0.206316|
[DEBUG] 1656 -135_0.212183|-120_0.213199|-105_0.212815|-90_0.212431|-75_0.212551|-60_0.213128|-45_0.207982|-30_0.209169|-15_0.210159|0_0.210918|15_0.211426|30_0.211672|45_0.21165|60_0.211359|75_0.210801|90_0.209987|105_0.208941|120_0.207698|135_0.206316|
[DEBUG] 1657 -135_0.212372|-120_0.213694|-105_0.213529|-90_0.213111|-75_0.213151|-60_0.213651|-45_0.214487|-30_0.20919|-15_0.210214|0_0.211011|15_0.211562|30_0.211852|45_0.211877|60_0.211634|75_0.211123|90_0.210354|105_0.209349|120_0.208141|135_0.206782|
