start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 2731 -135_0.22997|-120_0.229533|-105_0.229106|-90_0.228674|-75_0.228204|-60_0.22766|-45_0.227042|-30_0.226421|-15_0.225944|0_0.225745|15_0.225883|30_0.217105|45_0.217802|60_0.218566|75_0.219331|90_0.220043|105_0.220662|120_0.221163|135_0.221529|
[DEBUG] 3052 -135_0.231228|-120_0.233731|-105_0.233269|-90_0.230221|-75_0.228011|-60_0.226795|-45_0.22633|-30_0.222855|-15_0.223349|0_0.223865|15_0.224361|30_0.224805|45_0.225173|60_0.225453|75_0.225635|90_0.225716|105_0.225694|120_0.225569|135_0.225347|
[DEBUG] 3053 -135_0.231228|-120_0.233731|-105_0.233269|-90_0.230221|-75_0.228011|-60_0.226795|-45_0.22633|-30_0.222855|-15_0.223349|0_0.223865|15_0.224361|30_0.224805|45_0.225173|60_0.225453|75_0.225635|90_0.225716|105_0.225694|120_0.225569|135_0.225347|
[DEBUG] 3054 -135_0.231228|-120_0.233731|-105_0.233269|-90_0.230221|-75_0.228011|-60_0.226795|-45_0.22633|-30_0.222855|-15_0.223349|0_0.223865|15_0.224361|30_0.224805|45_0.225173|60_0.225453|75_0.225635|90_0.225716|105_0.225694|120_0.225569|135_0.225347|
[DEBUG] 3055 -135_0.232127|-120_0.234861|-105_0.233592|-90_0.230353|-75_0.228231|-60_0.227134|-45_0.223341|-30_0.223764|-15_0.22425|0_0.224749|15_0.225223|30_0.22564|45_0.225982|60_0.226235|75_0.226392|90_0.22645|105_0.226409|120_0.226268|135_0.226033|
[DEBUG] 3056 -135_0.232127|-120_0.234861|-105_0.233592|-90_0.230353|-75_0.228231|-60_0.227134|-45_0.223341|-30_0.223764|-15_0.22425|0_0.224749|15_0.225223|30_0.22564|45_0.225982|60_0.226235|75_0.226392|90_0.22645|105_0.226409|120_0.226268|135_0.226033|
[DEBUG] 3057 -135_0.232127|-120_0.234861|-105_0.233592|-90_0.230353|-75_0.228231|-60_0.227134|-45_0.223341|-30_0.223764|-15_0.22425|0_0.224749|15_0.225223|30_0.22564|45_0.225982|60_0.226235|75_0.226392|90_0.22645|105_0.226409|120_0.226268|135_0.226033|
[DEBUG] 3058 -135_0.231647|-120_0.234653|-105_0.233787|-90_0.23034|-75_0.228091|-60_0.226928|-45_0.223224|-30_0.223642|-15_0.224124|0_0.22462|15_0.225091|30_0.225506|45_0.225846|60_0.226099|75_0.226256|90_0.226316|105_0.226276|120_0.226138|135_0.225906|
[DEBUG] 3059 -135_0.231647|-120_0.234653|-105_0.233787|-90_0.23034|-75_0.228091|-60_0.226928|-45_0.223224|-30_0.223642|-15_0.224124|0_0.22462|15_0.225091|30_0.225506|45_0.225846|60_0.226099|75_0.226256|90_0.226316|105_0.226276|120_0.226138|135_0.225906|
[DEBUG] 3060 -135_0.231647|-120_0.234653|-105_0.233787|-90_0.23034|-75_0.228091|-60_0.226928|-45_0.223224|-30_0.223642|-15_0.224124|0_0.22462|15_0.225091|30_0.225506|45_0.225846|60_0.226099|75_0.226256|90_0.226316|105_0.226276|120_0.226138|135_0.225906|
[DEBUG] 3061 -135_0.23177|-120_0.235096|-105_0.232517|-90_0.229075|-75_0.227093|-60_0.226151|-45_0.222873|-30_0.22332|-15_0.223811|0_0.224301|15_0.224754|30_0.225145|45_0.225456|60_0.225678|75_0.225804|90_0.225831|105_0.225761|120_0.225593|135_0.225333|
