start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 6235 -135_0.224061|-120_0.223679|-105_0.22322|-90_0.222706|-75_0.222167|-60_0.221641|-45_0.221174|-30_0.220812|-15_0.220595|0_0.22055|15_0.220682|30_0.220974|45_0.221395|60_0.221898|75_0.222439|90_0.222974|105_0.223468|120_0.223893|135_0.224232|
[DEBUG] 6244 -135_0.223769|-120_0.223325|-105_0.22282|-90_0.222284|-75_0.221751|-60_0.221267|-45_0.220879|-30_0.220628|-15_0.220545|0_0.220639|15_0.220899|30_0.221295|45_0.221785|60_0.222321|75_0.222861|90_0.223366|105_0.223809|120_0.224167|135_0.224428|
[DEBUG] 6289 -135_0.222057|-120_0.22155|-105_0.221117|-90_0.220803|-75_0.220644|-60_0.22066|-45_0.220849|-30_0.221187|-15_0.221638|0_0.222156|15_0.222695|30_0.223216|45_0.223686|60_0.224081|75_0.224385|90_0.224587|105_0.224682|120_0.224669|135_0.224548|
[DEBUG] 6290 -135_0.222057|-120_0.22155|-105_0.221117|-90_0.220803|-75_0.220644|-60_0.22066|-45_0.220849|-30_0.221187|-15_0.221638|0_0.222156|15_0.222695|30_0.223216|45_0.223686|60_0.224081|75_0.224385|90_0.224587|105_0.224682|120_0.224669|135_0.224548|
[DEBUG] 6291 -135_0.222057|-120_0.22155|-105_0.221117|-90_0.220803|-75_0.220644|-60_0.22066|-45_0.220849|-30_0.221187|-15_0.221638|0_0.222156|15_0.222695|30_0.223216|45_0.223686|60_0.224081|75_0.224385|90_0.224587|105_0.224682|120_0.224669|135_0.224548|
[DEBUG] 6292 -135_0.221913|-120_0.221421|-105_0.221016|-90_0.220741|-75_0.220628|-60_0.220692|-45_0.220924|-30_0.221297|-15_0.221771|0_0.222299|15_0.222837|30_0.223347|45_0.223799|60_0.224171|75_0.224447|90_0.22462|105_0.224686|120_0.224643|135_0.224493|
[DEBUG] 6293 -135_0.221913|-120_0.221421|-105_0.221016|-90_0.220741|-75_0.220628|-60_0.220692|-45_0.220924|-30_0.221297|-15_0.221771|0_0.222299|15_0.222837|30_0.223347|45_0.223799|60_0.224171|75_0.224447|90_0.22462|105_0.224686|120_0.224643|135_0.224493|
[DEBUG] 6294 -135_0.221913|-120_0.221421|-105_0.221016|-90_0.220741|-75_0.220628|-60_0.220692|-45_0.220924|-30_0.221297|-15_0.221771|0_0.222299|15_0.222837|30_0.223347|45_0.223799|60_0.224171|75_0.224447|90_0.22462|105_0.224686|120_0.224643|135_0.224493|
[DEBUG] 6295 -135_0.221677|-120_0.22122|-105_0.22087|-90_0.220667|-75_0.220636|-60_0.22078|-45_0.221081|-30_0.221507|-15_0.222012|0_0.22255|15_0.223079|30_0.223566|45_0.223982|60_0.224311|75_0.224541|90_0.224664|105_0.224679|120_0.224587|135_0.224389|
[DEBUG] 6313 -135_0.222878|-120_0.222344|-105_0.221816|-90_0.221337|-75_0.220954|-60_0.220708|-45_0.220629|-30_0.220726|-15_0.220988|0_0.221384|15_0.221871|30_0.222404|45_0.22294|60_0.223441|75_0.223879|90_0.224233|105_0.224491|120_0.224644|135_0.224689|
[DEBUG] 6314 -135_0.222878|-120_0.222344|-105_0.221816|-90_0.221337|-75_0.220954|-60_0.220708|-45_0.220629|-30_0.220726|-15_0.220988|0_0.221384|15_0.221871|30_0.222404|45_0.22294|60_0.223441|75_0.223879|90_0.224233|105_0.224491|120_0.224644|135_0.224689|
