start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4133 -135_0.236243|-120_0.236345|-105_0.236437|-90_0.236479|-75_0.236498|-60_0.236556|-45_0.236703|-30_0.236959|-15_0.228138|0_0.22852|15_0.228841|30_0.229088|45_0.229256|60_0.22934|75_0.22934|90_0.229256|105_0.229089|120_0.228842|135_0.228521|
[DEBUG] 4134 -135_0.236243|-120_0.236345|-105_0.236437|-90_0.236479|-75_0.236498|-60_0.236556|-45_0.236703|-30_0.236959|-15_0.228138|0_0.22852|15_0.228841|30_0.229088|45_0.229256|60_0.22934|75_0.22934|90_0.229256|105_0.229089|120_0.228842|135_0.228521|
[DEBUG] 4135 -135_0.236277|-120_0.236336|-105_0.236412|-90_0.23648|-75_0.236559|-60_0.236689|-45_0.2369|-30_0.237201|-15_0.22816|0_0.228535|15_0.228846|30_0.229082|45_0.229237|60_0.229309|75_0.229295|90_0.229197|105_0.229015|120_0.228754|135_0.228421|
[DEBUG] 4136 -135_0.236277|-120_0.236336|-105_0.236412|-90_0.23648|-75_0.236559|-60_0.236689|-45_0.2369|-30_0.237201|-15_0.22816|0_0.228535|15_0.228846|30_0.229082|45_0.229237|60_0.229309|75_0.229295|90_0.229197|105_0.229015|120_0.228754|135_0.228421|
[DEBUG] 4137 -135_0.236277|-120_0.236336|-105_0.236412|-90_0.23648|-75_0.236559|-60_0.236689|-45_0.2369|-30_0.237201|-15_0.22816|0_0.228535|15_0.228846|30_0.229082|45_0.229237|60_0.229309|75_0.229295|90_0.229197|105_0.229015|120_0.228754|135_0.228421|
[DEBUG] 4138 -135_0.236412|-120_0.236425|-105_0.236492|-90_0.236587|-75_0.236711|-60_0.236881|-45_0.237116|-30_0.237423|-15_0.228147|0_0.228529|15_0.228849|30_0.229097|45_0.229266|60_0.229351|75_0.229352|90_0.22927|105_0.229104|120_0.228858|135_0.22854|
[DEBUG] 4139 -135_0.236412|-120_0.236425|-105_0.236492|-90_0.236587|-75_0.236711|-60_0.236881|-45_0.237116|-30_0.237423|-15_0.228147|0_0.228529|15_0.228849|30_0.229097|45_0.229266|60_0.229351|75_0.229352|90_0.22927|105_0.229104|120_0.228858|135_0.22854|
[DEBUG] 4140 -135_0.236412|-120_0.236425|-105_0.236492|-90_0.236587|-75_0.236711|-60_0.236881|-45_0.237116|-30_0.237423|-15_0.228147|0_0.228529|15_0.228849|30_0.229097|45_0.229266|60_0.229351|75_0.229352|90_0.22927|105_0.229104|120_0.228858|135_0.22854|
[DEBUG] 4141 -135_0.236297|-120_0.236304|-105_0.2364|-90_0.236555|-75_0.236749|-60_0.236981|-45_0.237252|-30_0.237566|-15_0.228225|0_0.228599|15_0.22891|30_0.229148|45_0.229306|60_0.229382|75_0.229374|90_0.229282|105_0.229108|120_0.228855|135_0.22853|
[DEBUG] 4142 -135_0.236297|-120_0.236304|-105_0.2364|-90_0.236555|-75_0.236749|-60_0.236981|-45_0.237252|-30_0.237566|-15_0.228225|0_0.228599|15_0.22891|30_0.229148|45_0.229306|60_0.229382|75_0.229374|90_0.229282|105_0.229108|120_0.228855|135_0.22853|
