start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 3919 -135_0.196363|-120_0.195975|-105_0.195527|-90_0.195045|-75_0.19456|-60_0.194114|-45_0.193748|-30_0.193502|-15_0.193406|0_0.193471|15_0.193689|30_0.194034|45_0.194468|60_0.194948|75_0.195434|90_0.19589|105_0.196292|120_0.19662|135_0.196864|
[DEBUG] 3926 -135_0.206649|-120_0.195172|-105_0.194702|-90_0.194177|-75_0.19363|-60_0.193102|-45_0.192639|-30_0.192289|-15_0.192093|0_0.192073|15_0.192233|30_0.192553|45_0.192995|60_0.193513|75_0.204966|90_0.206289|105_0.208219|120_0.210832|135_0.214196|
[DEBUG] 3927 -135_0.206649|-120_0.195172|-105_0.194702|-90_0.194177|-75_0.19363|-60_0.193102|-45_0.192639|-30_0.192289|-15_0.192093|0_0.192073|15_0.192233|30_0.192553|45_0.192995|60_0.193513|75_0.204966|90_0.206289|105_0.208219|120_0.210832|135_0.214196|
[DEBUG] 3928 -135_0.194711|-120_0.194215|-105_0.193664|-90_0.193092|-75_0.192542|-60_0.192063|-45_0.191705|-30_0.19151|-15_0.1915|0_0.191679|15_0.192022|30_0.192491|45_0.193037|60_0.20545|75_0.206931|90_0.208921|105_0.211351|120_0.213822|135_0.21473|
[DEBUG] 3929 -135_0.194711|-120_0.194215|-105_0.193664|-90_0.193092|-75_0.192542|-60_0.192063|-45_0.191705|-30_0.19151|-15_0.1915|0_0.191679|15_0.192022|30_0.192491|45_0.193037|60_0.20545|75_0.206931|90_0.208921|105_0.211351|120_0.213822|135_0.21473|
[DEBUG] 3930 -135_0.194711|-120_0.194215|-105_0.193664|-90_0.193092|-75_0.192542|-60_0.192063|-45_0.191705|-30_0.19151|-15_0.1915|0_0.191679|15_0.192022|30_0.192491|45_0.193037|60_0.20545|75_0.206931|90_0.208921|105_0.211351|120_0.213822|135_0.21473|
[DEBUG] 3931 -135_0.194664|-120_0.194189|-105_0.193646|-90_0.193064|-75_0.192484|-60_0.191954|-45_0.191528|-30_0.19125|-15_0.191156|0_0.191256|15_0.191538|30_0.191969|45_0.192501|60_0.193081|75_0.205245|90_0.206748|105_0.2086|120_0.210573|135_0.212037|
[DEBUG] 3932 -135_0.194664|-120_0.194189|-105_0.193646|-90_0.193064|-75_0.192484|-60_0.191954|-45_0.191528|-30_0.19125|-15_0.191156|0_0.191256|15_0.191538|30_0.191969|45_0.192501|60_0.193081|75_0.205245|90_0.206748|105_0.2086|120_0.210573|135_0.212037|
[DEBUG] 3933 -135_0.194664|-120_0.194189|-105_0.193646|-90_0.193064|-75_0.192484|-60_0.191954|-45_0.191528|-30_0.19125|-15_0.191156|0_0.191256|15_0.191538|30_0.191969|45_0.192501|60_0.193081|75_0.205245|90_0.206748|105_0.2086|120_0.210573|135_0.212037|
[DEBUG] 3934 -135_0.194721|-120_0.194213|-105_0.19366|-90_0.193098|-75_0.192573|-60_0.192133|-45_0.191827|-30_0.191689|-15_0.191738|0_0.191966|15_0.192347|30_0.192838|45_0.204815|60_0.206097|75_0.207774|90_0.209702|105_0.211479|120_0.212303|135_0.211708|
[DEBUG] 3935 -135_0.194721|-120_0.194213|-105_0.19366|-90_0.193098|-75_0.192573|-60_0.192133|-45_0.191827|-30_0.191689|-15_0.191738|0_0.191966|15_0.192347|30_0.192838|45_0.204815|60_0.206097|75_0.207774|90_0.209702|105_0.211479|120_0.212303|135_0.211708|
[DEBUG] 3936 -135_0.194721|-120_0.194213|-105_0.19366|-90_0.193098|-75_0.192573|-60_0.192133|-45_0.191827|-30_0.191689|-15_0.191738|0_0.191966|15_0.192347|30_0.192838|45_0.204815|60_0.206097|75_0.207774|90_0.209702|105_0.211479|120_0.212303|135_0.211708|
[DEBUG] 3937 -135_0.196059|-120_0.195619|-105_0.195142|-90_0.194657|-75_0.194203|-60_0.193825|-45_0.193561|-30_0.193443|-15_0.193485|0_0.193682|15_0.19401|30_0.194433|45_0.206685|60_0.207761|75_0.209206|90_0.210892|105_0.2125|120_0.213402|135_0.213102|
[DEBUG] 3938 -135_0.196059|-120_0.195619|-105_0.195142|-90_0.194657|-75_0.194203|-60_0.193825|-45_0.193561|-30_0.193443|-15_0.193485|0_0.193682|15_0.19401|30_0.194433|45_0.206685|60_0.207761|75_0.209206|90_0.210892|105_0.2125|120_0.213402|135_0.213102|
[DEBUG] 3939 -135_0.196059|-120_0.195619|-105_0.195142|-90_0.194657|-75_0.194203|-60_0.193825|-45_0.193561|-30_0.193443|-15_0.193485|0_0.193682|15_0.19401|30_0.194433|45_0.206685|60_0.207761|75_0.209206|90_0.210892|105_0.2125|120_0.213402|135_0.213102|
[DEBUG] 3940 -135_0.195933|-120_0.19548|-105_0.194996|-90_0.194516|-75_0.19408|-60_0.193731|-45_0.193507|-30_0.193436|-15_0.193525|0_0.193764|15_0.194125|30_0.194568|45_0.207121|60_0.208393|75_0.209974|90_0.211655|105_0.212963|120_0.21326|135_0.212488|
[DEBUG] 3941 -135_0.195933|-120_0.19548|-105_0.194996|-90_0.194516|-75_0.19408|-60_0.193731|-45_0.193507|-30_0.193436|-15_0.193525|0_0.193764|15_0.194125|30_0.194568|45_0.207121|60_0.208393|75_0.209974|90_0.211655|105_0.212963|120_0.21326|135_0.212488|
[DEBUG] 3942 -135_0.195933|-120_0.19548|-105_0.194996|-90_0.194516|-75_0.19408|-60_0.193731|-45_0.193507|-30_0.193436|-15_0.193525|0_0.193764|15_0.194125|30_0.194568|45_0.207121|60_0.208393|75_0.209974|90_0.211655|105_0.212963|120_0.21326|135_0.212488|
[DEBUG] 3943 -135_0.306902|-120_0.302917|-105_0.295305|-90_0.287661|-75_0.281861|-60_0.278583|-45_0.196649|-30_0.196963|-15_0.197195|0_0.19734|15_0.197394|30_0.197356|45_0.197226|60_0.197009|75_0.196709|90_0.196336|105_0.195907|120_0.195445|135_0.194981|
[DEBUG] 3944 -135_0.306902|-120_0.302917|-105_0.295305|-90_0.287661|-75_0.281861|-60_0.278583|-45_0.196649|-30_0.196963|-15_0.197195|0_0.19734|15_0.197394|30_0.197356|45_0.197226|60_0.197009|75_0.196709|90_0.196336|105_0.195907|120_0.195445|135_0.194981|
[DEBUG] 3945 -135_0.306902|-120_0.302917|-105_0.295305|-90_0.287661|-75_0.281861|-60_0.278583|-45_0.196649|-30_0.196963|-15_0.197195|0_0.19734|15_0.197394|30_0.197356|45_0.197226|60_0.197009|75_0.196709|90_0.196336|105_0.195907|120_0.195445|135_0.194981|
[DEBUG] 3946 -135_0.309043|-120_0.307054|-105_0.300401|-90_0.292721|-75_0.286361|-60_0.282295|-45_0.198008|-30_0.198268|-15_0.198461|0_0.198582|15_0.198627|30_0.198596|45_0.198489|60_0.198308|75_0.19806|90_0.197751|105_0.197395|120_0.197013|135_0.19663|
[DEBUG] 3947 -135_0.309043|-120_0.307054|-105_0.300401|-90_0.292721|-75_0.286361|-60_0.282295|-45_0.198008|-30_0.198268|-15_0.198461|0_0.198582|15_0.198627|30_0.198596|45_0.198489|60_0.198308|75_0.19806|90_0.197751|105_0.197395|120_0.197013|135_0.19663|
[DEBUG] 3948 -135_0.309043|-120_0.307054|-105_0.300401|-90_0.292721|-75_0.286361|-60_0.282295|-45_0.198008|-30_0.198268|-15_0.198461|0_0.198582|15_0.198627|30_0.198596|45_0.198489|60_0.198308|75_0.19806|90_0.197751|105_0.197395|120_0.197013|135_0.19663|
[DEBUG] 3949 -135_0.308993|-120_0.308376|-105_0.302359|-90_0.294585|-75_0.287781|-60_0.283151|-45_0.198064|-30_0.19832|-15_0.198509|0_0.198625|15_0.198666|30_0.198632|45_0.198522|60_0.19834|75_0.19809|90_0.19778|105_0.197426|120_0.197045|135_0.196665|
[DEBUG] 3950 -135_0.308993|-120_0.308376|-105_0.302359|-90_0.294585|-75_0.287781|-60_0.283151|-45_0.198064|-30_0.19832|-15_0.198509|0_0.198625|15_0.198666|30_0.198632|45_0.198522|60_0.19834|75_0.19809|90_0.19778|105_0.197426|120_0.197045|135_0.196665|
[DEBUG] 3951 -135_0.308993|-120_0.308376|-105_0.302359|-90_0.294585|-75_0.287781|-60_0.283151|-45_0.198064|-30_0.19832|-15_0.198509|0_0.198625|15_0.198666|30_0.198632|45_0.198522|60_0.19834|75_0.19809|90_0.19778|105_0.197426|120_0.197045|135_0.196665|
[DEBUG] 3952 -135_0.308611|-120_0.308698|-105_0.303793|-90_0.296852|-75_0.290468|-60_0.285944|-45_0.19814|-30_0.19839|-15_0.198574|0_0.198685|15_0.198722|30_0.198684|45_0.198572|60_0.198388|75_0.198137|90_0.197828|105_0.197475|120_0.197097|135_0.196721|
[DEBUG] 3953 -135_0.308611|-120_0.308698|-105_0.303793|-90_0.296852|-75_0.290468|-60_0.285944|-45_0.19814|-30_0.19839|-15_0.198574|0_0.198685|15_0.198722|30_0.198684|45_0.198572|60_0.198388|75_0.198137|90_0.197828|105_0.197475|120_0.197097|135_0.196721|
[DEBUG] 3954 -135_0.308611|-120_0.308698|-105_0.303793|-90_0.296852|-75_0.290468|-60_0.285944|-45_0.19814|-30_0.19839|-15_0.198574|0_0.198685|15_0.198722|30_0.198684|45_0.198572|60_0.198388|75_0.198137|90_0.197828|105_0.197475|120_0.197097|135_0.196721|
