start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 1839 -135_0.222201|-120_0.221735|-105_0.221154|-90_0.220485|-75_0.219767|-60_0.219047|-45_0.218381|-30_0.218656|-15_0.218309|0_0.218152|15_0.21819|30_0.218409|45_0.218785|60_0.219297|75_0.219927|90_0.220642|105_0.221371|120_0.222043|135_0.221893|
[DEBUG] 1900 -135_0.223017|-120_0.222542|-105_0.222042|-90_0.221443|-75_0.220845|-60_0.220407|-45_0.22018|-30_0.226448|-15_0.227219|0_0.228499|15_0.230176|30_0.231878|45_0.232763|60_0.232472|75_0.231749|90_0.231116|105_0.230708|120_0.224422|135_0.224527|
[DEBUG] 1901 -135_0.223017|-120_0.222542|-105_0.222042|-90_0.221443|-75_0.220845|-60_0.220407|-45_0.22018|-30_0.226448|-15_0.227219|0_0.228499|15_0.230176|30_0.231878|45_0.232763|60_0.232472|75_0.231749|90_0.231116|105_0.230708|120_0.224422|135_0.224527|
[DEBUG] 1902 -135_0.223017|-120_0.222542|-105_0.222042|-90_0.221443|-75_0.220845|-60_0.220407|-45_0.22018|-30_0.226448|-15_0.227219|0_0.228499|15_0.230176|30_0.231878|45_0.232763|60_0.232472|75_0.231749|90_0.231116|105_0.230708|120_0.224422|135_0.224527|
[DEBUG] 1903 -135_0.223094|-120_0.222605|-105_0.222098|-90_0.221511|-75_0.22091|-60_0.220454|-45_0.220207|-30_0.226288|-15_0.227067|0_0.228378|15_0.230123|30_0.231917|45_0.232822|60_0.232441|75_0.231645|90_0.230981|105_0.230566|120_0.224468|135_0.224585|
[DEBUG] 1904 -135_0.223094|-120_0.222605|-105_0.222098|-90_0.221511|-75_0.22091|-60_0.220454|-45_0.220207|-30_0.226288|-15_0.227067|0_0.228378|15_0.230123|30_0.231917|45_0.232822|60_0.232441|75_0.231645|90_0.230981|105_0.230566|120_0.224468|135_0.224585|
[DEBUG] 1905 -135_0.223094|-120_0.222605|-105_0.222098|-90_0.221511|-75_0.22091|-60_0.220454|-45_0.220207|-30_0.226288|-15_0.227067|0_0.228378|15_0.230123|30_0.231917|45_0.232822|60_0.232441|75_0.231645|90_0.230981|105_0.230566|120_0.224468|135_0.224585|
[DEBUG] 1906 -135_0.221673|-120_0.221199|-105_0.220704|-90_0.220114|-75_0.219437|-60_0.218866|-45_0.218504|-30_0.224316|-15_0.224922|0_0.22609|15_0.227757|30_0.229648|45_0.230933|60_0.230824|75_0.230047|90_0.229332|105_0.228867|120_0.228657|135_0.222901|
[DEBUG] 1907 -135_0.221673|-120_0.221199|-105_0.220704|-90_0.220114|-75_0.219437|-60_0.218866|-45_0.218504|-30_0.224316|-15_0.224922|0_0.22609|15_0.227757|30_0.229648|45_0.230933|60_0.230824|75_0.230047|90_0.229332|105_0.228867|120_0.228657|135_0.222901|
[DEBUG] 1908 -135_0.221673|-120_0.221199|-105_0.220704|-90_0.220114|-75_0.219437|-60_0.218866|-45_0.218504|-30_0.224316|-15_0.224922|0_0.22609|15_0.227757|30_0.229648|45_0.230933|60_0.230824|75_0.230047|90_0.229332|105_0.228867|120_0.228657|135_0.222901|
[DEBUG] 1909 -135_0.221253|-120_0.220776|-105_0.220279|-90_0.219686|-75_0.21901|-60_0.218446|-45_0.218094|-30_0.223725|-15_0.224385|0_0.225617|15_0.227355|30_0.22929|45_0.230484|60_0.23022|75_0.229382|90_0.228663|105_0.228217|120_0.222358|135_0.222526|
[DEBUG] 1910 -135_0.221253|-120_0.220776|-105_0.220279|-90_0.219686|-75_0.21901|-60_0.218446|-45_0.218094|-30_0.223725|-15_0.224385|0_0.225617|15_0.227355|30_0.22929|45_0.230484|60_0.23022|75_0.229382|90_0.228663|105_0.228217|120_0.222358|135_0.222526|
[DEBUG] 1911 -135_0.221253|-120_0.220776|-105_0.220279|-90_0.219686|-75_0.21901|-60_0.218446|-45_0.218094|-30_0.223725|-15_0.224385|0_0.225617|15_0.227355|30_0.22929|45_0.230484|60_0.23022|75_0.229382|90_0.228663|105_0.228217|120_0.222358|135_0.222526|
[DEBUG] 1912 -135_0.220901|-120_0.220421|-105_0.219926|-90_0.219356|-75_0.21868|-60_0.218087|-45_0.217698|-30_0.217543|-15_0.223539|0_0.224714|15_0.226479|30_0.228644|45_0.230319|60_0.230174|75_0.229139|90_0.228238|105_0.227667|120_0.227397|135_0.222089|
[DEBUG] 1913 -135_0.220901|-120_0.220421|-105_0.219926|-90_0.219356|-75_0.21868|-60_0.218087|-45_0.217698|-30_0.217543|-15_0.223539|0_0.224714|15_0.226479|30_0.228644|45_0.230319|60_0.230174|75_0.229139|90_0.228238|105_0.227667|120_0.227397|135_0.222089|
[DEBUG] 1914 -135_0.220901|-120_0.220421|-105_0.219926|-90_0.219356|-75_0.21868|-60_0.218087|-45_0.217698|-30_0.217543|-15_0.223539|0_0.224714|15_0.226479|30_0.228644|45_0.230319|60_0.230174|75_0.229139|90_0.228238|105_0.227667|120_0.227397|135_0.222089|
[DEBUG] 1915 -135_0.220995|-120_0.220493|-105_0.219965|-90_0.219397|-75_0.21877|-60_0.218218|-45_0.217847|-30_0.217697|-15_0.223638|0_0.224716|15_0.226325|30_0.228257|45_0.22978|60_0.229904|75_0.229133|90_0.228347|105_0.227814|120_0.227548|135_0.222191|
[DEBUG] 1916 -135_0.220995|-120_0.220493|-105_0.219965|-90_0.219397|-75_0.21877|-60_0.218218|-45_0.217847|-30_0.217697|-15_0.223638|0_0.224716|15_0.226325|30_0.228257|45_0.22978|60_0.229904|75_0.229133|90_0.228347|105_0.227814|120_0.227548|135_0.222191|
[DEBUG] 1917 -135_0.220995|-120_0.220493|-105_0.219965|-90_0.219397|-75_0.21877|-60_0.218218|-45_0.217847|-30_0.217697|-15_0.223638|0_0.224716|15_0.226325|30_0.228257|45_0.22978|60_0.229904|75_0.229133|90_0.228347|105_0.227814|120_0.227548|135_0.222191|
[DEBUG] 1918 -135_0.220297|-120_0.219793|-105_0.219262|-90_0.218681|-75_0.218041|-60_0.21748|-45_0.217106|-30_0.216958|-15_0.222935|0_0.224095|15_0.225806|30_0.227834|45_0.229302|60_0.229191|75_0.228299|90_0.227498|105_0.226989|120_0.221321|135_0.221511|
[DEBUG] 1919 -135_0.220297|-120_0.219793|-105_0.219262|-90_0.218681|-75_0.218041|-60_0.21748|-45_0.217106|-30_0.216958|-15_0.222935|0_0.224095|15_0.225806|30_0.227834|45_0.229302|60_0.229191|75_0.228299|90_0.227498|105_0.226989|120_0.221321|135_0.221511|
[DEBUG] 1920 -135_0.220297|-120_0.219793|-105_0.219262|-90_0.218681|-75_0.218041|-60_0.21748|-45_0.217106|-30_0.216958|-15_0.222935|0_0.224095|15_0.225806|30_0.227834|45_0.229302|60_0.229191|75_0.228299|90_0.227498|105_0.226989|120_0.221321|135_0.221511|
[DEBUG] 1921 -135_0.220898|-120_0.22038|-105_0.219823|-90_0.219233|-75_0.218605|-60_0.218037|-45_0.217635|-30_0.217445|-15_0.223254|0_0.224314|15_0.225957|30_0.228023|45_0.229778|60_0.22993|75_0.229025|90_0.228144|105_0.227565|120_0.227282|135_0.221996|
[DEBUG] 1922 -135_0.220898|-120_0.22038|-105_0.219823|-90_0.219233|-75_0.218605|-60_0.218037|-45_0.217635|-30_0.217445|-15_0.223254|0_0.224314|15_0.225957|30_0.228023|45_0.229778|60_0.22993|75_0.229025|90_0.228144|105_0.227565|120_0.227282|135_0.221996|
[DEBUG] 1923 -135_0.220898|-120_0.22038|-105_0.219823|-90_0.219233|-75_0.218605|-60_0.218037|-45_0.217635|-30_0.217445|-15_0.223254|0_0.224314|15_0.225957|30_0.228023|45_0.229778|60_0.22993|75_0.229025|90_0.228144|105_0.227565|120_0.227282|135_0.221996|
[DEBUG] 1924 -135_0.220461|-120_0.219927|-105_0.219351|-90_0.21875|-75_0.21813|-60_0.217578|-45_0.217191|-30_0.217014|-15_0.222638|0_0.223723|15_0.225387|30_0.227453|45_0.229135|60_0.229213|75_0.228312|90_0.227458|105_0.226907|120_0.226647|135_0.221606|
[DEBUG] 1925 -135_0.220461|-120_0.219927|-105_0.219351|-90_0.21875|-75_0.21813|-60_0.217578|-45_0.217191|-30_0.217014|-15_0.222638|0_0.223723|15_0.225387|30_0.227453|45_0.229135|60_0.229213|75_0.228312|90_0.227458|105_0.226907|120_0.226647|135_0.221606|
[DEBUG] 1926 -135_0.220461|-120_0.219927|-105_0.219351|-90_0.21875|-75_0.21813|-60_0.217578|-45_0.217191|-30_0.217014|-15_0.222638|0_0.223723|15_0.225387|30_0.227453|45_0.229135|60_0.229213|75_0.228312|90_0.227458|105_0.226907|120_0.226647|135_0.221606|
[DEBUG] 7132 -135_0.209177|-120_0.208176|-105_0.206961|-90_0.205583|-75_0.204123|-60_0.202685|-45_0.201399|-30_0.200399|-15_0.199805|0_0.199692|15_0.200075|30_0.200905|45_0.202079|60_0.203464|75_0.204928|90_0.206352|105_0.207648|120_0.20875|135_0.209618|
[DEBUG] 7133 -135_0.209177|-120_0.208176|-105_0.206961|-90_0.205583|-75_0.204123|-60_0.202685|-45_0.201399|-30_0.200399|-15_0.199805|0_0.199692|15_0.200075|30_0.200905|45_0.202079|60_0.203464|75_0.204928|90_0.206352|105_0.207648|120_0.20875|135_0.209618|
[DEBUG] 7134 -135_0.209177|-120_0.208176|-105_0.206961|-90_0.205583|-75_0.204123|-60_0.202685|-45_0.201399|-30_0.200399|-15_0.199805|0_0.199692|15_0.200075|30_0.200905|45_0.202079|60_0.203464|75_0.204928|90_0.206352|105_0.207648|120_0.20875|135_0.209618|
[DEBUG] 7135 -135_0.209116|-120_0.208099|-105_0.20687|-90_0.205484|-75_0.204021|-60_0.20259|-45_0.201319|-30_0.200344|-15_0.199781|0_0.199703|15_0.20012|30_0.200977|45_0.202169|60_0.203564|75_0.205029|90_0.206447|105_0.207731|120_0.208818|135_0.209669|
[DEBUG] 7136 -135_0.209116|-120_0.208099|-105_0.20687|-90_0.205484|-75_0.204021|-60_0.20259|-45_0.201319|-30_0.200344|-15_0.199781|0_0.199703|15_0.20012|30_0.200977|45_0.202169|60_0.203564|75_0.205029|90_0.206447|105_0.207731|120_0.208818|135_0.209669|
[DEBUG] 7137 -135_0.209116|-120_0.208099|-105_0.20687|-90_0.205484|-75_0.204021|-60_0.20259|-45_0.201319|-30_0.200344|-15_0.199781|0_0.199703|15_0.20012|30_0.200977|45_0.202169|60_0.203564|75_0.205029|90_0.206447|105_0.207731|120_0.208818|135_0.209669|
[DEBUG] 7138 -135_0.213755|-120_0.212953|-105_0.211976|-90_0.21087|-75_0.209696|-60_0.20854|-45_0.207505|-30_0.206697|-15_0.206213|0_0.206113|15_0.206411|30_0.207067|45_0.208001|60_0.209109|75_0.210284|90_0.211432|105_0.212479|120_0.213372|135_0.214078|
[DEBUG] 7139 -135_0.213755|-120_0.212953|-105_0.211976|-90_0.21087|-75_0.209696|-60_0.20854|-45_0.207505|-30_0.206697|-15_0.206213|0_0.206113|15_0.206411|30_0.207067|45_0.208001|60_0.209109|75_0.210284|90_0.211432|105_0.212479|120_0.213372|135_0.214078|
[DEBUG] 7140 -135_0.213755|-120_0.212953|-105_0.211976|-90_0.21087|-75_0.209696|-60_0.20854|-45_0.207505|-30_0.206697|-15_0.206213|0_0.206113|15_0.206411|30_0.207067|45_0.208001|60_0.209109|75_0.210284|90_0.211432|105_0.212479|120_0.213372|135_0.214078|
[DEBUG] 7141 -135_0.213794|-120_0.213002|-105_0.212035|-90_0.210934|-75_0.209762|-60_0.208602|-45_0.207557|-30_0.206735|-15_0.20623|0_0.206108|15_0.206384|30_0.207022|45_0.207944|60_0.209045|75_0.210219|90_0.21137|105_0.212424|120_0.213327|135_0.214044|
[DEBUG] 7142 -135_0.213794|-120_0.213002|-105_0.212035|-90_0.210934|-75_0.209762|-60_0.208602|-45_0.207557|-30_0.206735|-15_0.20623|0_0.206108|15_0.206384|30_0.207022|45_0.207944|60_0.209045|75_0.210219|90_0.21137|105_0.212424|120_0.213327|135_0.214044|
[DEBUG] 7143 -135_0.213794|-120_0.213002|-105_0.212035|-90_0.210934|-75_0.209762|-60_0.208602|-45_0.207557|-30_0.206735|-15_0.20623|0_0.206108|15_0.206384|30_0.207022|45_0.207944|60_0.209045|75_0.210219|90_0.21137|105_0.212424|120_0.213327|135_0.214044|
[DEBUG] 10438 -135_0.204099|-120_0.202605|-105_0.200946|-90_0.199223|-75_0.197571|-60_0.196147|-45_0.195113|-30_0.194598|-15_0.194674|0_0.19533|15_0.196478|30_0.197975|45_0.199659|60_0.201377|75_0.203003|90_0.204444|105_0.205636|120_0.206542|135_0.207141|
[DEBUG] 13453 -135_0.219222|-120_0.218497|-105_0.217628|-90_0.216655|-75_0.215637|-60_0.214651|-45_0.213787|-30_0.213138|-15_0.21278|0_0.21276|15_0.21308|30_0.2137|45_0.214543|60_0.21552|75_0.216538|90_0.21752|105_0.218403|120_0.219147|135_0.219724|
